map_name      250 glon       250 glat       350 glon       350 glat       
336.871-0.25   336.8751       -0.2514        336.8752       -0.2504        
337.08-0.914   337.0623       -0.8828        337.0628       -0.8822        
337.299-0.50   337.2989       -0.5074        337.2997       -0.5059        
337.327-0.49   337.3291       -0.4981        337.3293       -0.4978        
337.446-0.53   337.4626       -0.4626        337.4626       -0.4624        
337.553-0.59   337.5547       -0.5930        337.5549       -0.5931        
337.578-0.13   337.5814       -0.1392        337.5820       -0.1388        
338.112-0.46   338.1109       -0.4629        338.1127       -0.4657        
338.675+0.16   338.6766       0.1665         338.6767       0.1659         
338.936-0.42   338.8987       -0.4324        338.8990       -0.4321        
339.263-0.41   339.2645       -0.3682        339.2642       -0.3684        
339.898-0.39   339.8999       -0.3943        339.8998       -0.3936        
340.127-0.10   340.1289       -0.1087        340.1293       -0.1087        
340.213-0.1    340.2070       -0.0830        340.2072       -0.0829        
340.216-0.31   340.2349       -0.3057        340.2335       -0.3060        
340.991-0.31   341.0098       -0.3164        341.0097       -0.3160        
341.004-0.12   341.0046       -0.1314        341.0041       -0.1305        
341.04-0.115   341.0396       -0.1124        341.0387       -0.1112        
342.068+0.19   342.0680       0.1927         342.0679       0.1939         
343.057-0.32   343.0577       -0.3203        343.0581       -0.3200        
343.938-0.07   343.9378       -0.0768        343.9380       -0.0756        
343.979-0.14   343.9809       -0.1422        343.9808       -0.1423        
345.113-0.19   345.0727       -0.1949        345.0726       -0.1945        
345.382-0.18   345.3594       -0.2346        345.3598       -0.2335        
345.686+0.30   345.6813       0.3202         345.6817       0.3201         
348.344+0.64   348.3409       0.6589         348.3422       0.6606         
348.379+0.41   348.3790       0.4129         348.3792       0.4123         
348.738-0.27   348.7173       -0.2811        348.7177       -0.2808        
348.738-0.27   348.7415       -0.2764        348.7423       -0.2759        
349.043+0.1    349.0430       0.1007         349.0424       0.1016         
349.818-0.48   349.9885       -0.5539        349.9868       -0.5541        
350.722+0.04   350.7215       0.0462         350.7216       0.0465         
350.725+0.03   350.7208       0.0245         350.7205       0.0243         
351.025+0.72   350.9354       0.6593         350.9360       0.6598         
351.029+0.34   351.0256       0.3370         351.0274       0.3355         
351.39-0.218   351.3901       -0.2157        351.3919       -0.2157        
354.358+0.35   354.3745       0.3779         354.3728       0.3797         
354.757+0.74   354.7516       0.7465         354.7514       0.7466         
356.312+0.28   356.3014       0.2860         356.3023       0.2867         
356.949+0.17   356.9687       0.1515         356.9681       0.1503         
357.565+0.26   357.5484       0.2782         357.5486       0.2792         
37.473+0.049   37.4745        0.0491         37.4754        0.0494         
