map_name       250 glon       250 glat       350 glon       350 glat       
338.476-0.42   338.4769       -0.4289        338.4757       -0.4274        
338.731-0.46   338.6875       -0.4583        338.6870       -0.4579        
338.806-0.48   338.8050       -0.4843        338.8031       -0.4858        
338.816-0.35   338.8188       -0.3697        338.8192       -0.3698        
339.58-0.38    339.3675       -0.4069        339.3665       -0.4059        
34.784-0.557   34.7466        -0.5456        34.7477        -0.5444        
340.243-0.31   340.2443       -0.3159        340.2443       -0.3164        
340.495-0.94   340.5290       -0.9498        340.5295       -0.9494        
340.593-0.93   340.5931       -0.9405        340.5934       -0.9404        
340.593-0.93   340.5948       -0.9300        340.5944       -0.9324        
342.493-0.18   342.4778       -0.1638        342.4758       -0.1660        
342.55-0.571   342.5582       -0.5687        342.5588       -0.5685        
345.08-0.064   345.0811       -0.0655        345.0806       -0.0652        
345.302+0.00   345.3038       0.0006         345.3048       0.0010         
345.302-0.13   345.3053       -0.1317        345.3050       -0.1311        
346.894+0.08   346.9119       0.0695         346.9117       0.0699         
35.121-0.007   35.1287        -0.0077        35.1282        -0.0073        
350.616-0.28   350.6285       -0.2670        350.6297       -0.2654        
350.716-0.38   350.7160       -0.3876        350.7159       -0.3872        
350.885-0.23   350.8810       -0.2333        350.8811       -0.2329        
351.977+0.45   351.9822       0.4472         351.9816       0.4477         
354.052+0.31   353.9887       0.3057         353.9884       0.3059         
354.595-0.59   354.6339       -0.6497        354.6349       -0.6510        
354.595-0.59   354.6303       -0.6092        354.6278       -0.6094        
355.272-0.21   355.2780       -0.2013        355.2783       -0.2002        
356.396+0.03   356.4212       0.0671         356.4216       0.0670         
356.87-0.014   356.8603       -0.0175        356.8604       -0.0158        
357.517+0.19   357.5087       0.1802         357.5099       0.1810         
357.82-0.333   357.7657       -0.3113        357.7658       -0.3101        
36.671-0.131   36.6707        -0.1282        36.6710        -0.1304        
38.383-0.148   38.4051        -0.1545        38.4056        -0.1539        
4.015-0.021    4.0806         0.0135         4.0805         0.0146         
4.733+0.005    4.7191         0.0016         4.7197         0.0027         
4.774-0.171    4.7806         -0.1600        4.7808         -0.1594        
41.089-0.274   41.0481        -0.2892        41.0487        -0.2889        
6.703-0.34     6.7113         -0.3364        6.7113         -0.3362        
7.997-0.547    8.0028         -0.5326        8.0029         -0.5322        
8.051-0.326    8.0582         -0.3114        8.0587         -0.3111        
8.551-0.599    8.5406         -0.5774        8.5402         -0.5773        
9.175+0.044    9.1440         0.0620         9.1444         0.0603         
