map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
16.661-0.343   1              160            16.6615        -0.3312        275.5808       -14.5948       0.00           
16.661-0.343   1              250            16.6615        -0.3309        275.5806       -14.5946       1.08           
16.661-0.343   1              350            16.6622        -0.3314        275.5813       -14.5942       2.62           
16.883+0.136   1              70             16.8719        0.1272         275.2653       -14.1935       2.55           
16.883+0.136   1              160            16.8718        0.1279         275.2646       -14.1932       0.00           
16.883+0.136   1              250            16.8703        0.1282         275.2636       -14.1944       5.51           
16.883+0.136   1              350            16.8698        0.1288         275.2629       -14.1946       7.90           
16.925+0.279   1              70             16.9266        0.2858         275.1476       -14.0705       0.80           
16.925+0.279   1              160            16.9267        0.2856         275.1479       -14.0705       0.00           
16.925+0.279   1              250            16.9266        0.2854         275.1480       -14.0707       0.80           
16.925+0.279   1              350            16.9274        0.2838         275.1499       -14.0708       6.95           
16.932+0.215   1              70             16.9280        0.2176         275.2103       -14.1014       5.05           
16.932+0.215   1              160            16.9294        0.2175         275.2111       -14.1002       0.00           
16.932+0.215   1              250            16.9299        0.2177         275.2112       -14.0997       1.94           
16.932+0.215   1              350            16.9304        0.2179         275.2112       -14.0992       3.88           
16.941+0.458   1              70             16.9433        0.4202         275.0336       -13.9924       1.80           
16.941+0.458   1              160            16.9433        0.4207         275.0331       -13.9922       0.00           
16.941+0.458   1              250            16.9430        0.4209         275.0328       -13.9923       1.30           
16.941+0.458   1              350            16.9435        0.4213         275.0327       -13.9917       2.28           
16.941+0.458   2              70             16.9188        0.4818         274.9657       -13.9849       0.80           
16.941+0.458   2              160            16.9190        0.4817         274.9659       -13.9848       0.00           
16.941+0.458   2              250            16.9185        0.4814         274.9659       -13.9854       2.10           
16.941+0.458   2              350            16.9184        0.4823         274.9651       -13.9851       3.05           
16.965-0.095   1              70             16.9444        -0.0735        275.4832       -14.2239       1.30           
16.965-0.095   1              160            16.9446        -0.0732        275.4830       -14.2236       0.00           
16.965-0.095   1              250            16.9444        -0.0733        275.4830       -14.2238       0.80           
16.965-0.095   1              350            16.9449        -0.0729        275.4829       -14.2232       1.53           
16.975-0.219   1              70             16.9742        -0.2240        275.6347       -14.2683       4.07           
16.975-0.219   1              160            16.9750        -0.2232        275.6344       -14.2673       0.00           
16.975-0.219   1              250            16.9753        -0.2224        275.6338       -14.2666       3.08           
16.975-0.219   1              350            16.9756        -0.2220        275.6336       -14.2662       4.83           
16.975-0.219   2              70             16.9898        -0.2229        275.6413       -14.2540       2.28           
16.975-0.219   2              160            16.9904        -0.2227        275.6414       -14.2534       0.00           
16.975-0.219   2              250            16.9910        -0.2229        275.6419       -14.2530       2.28           
16.975-0.219   2              350            16.9910        -0.2222        275.6412       -14.2527       2.81           
17.082+0.442   1              70             17.0314        0.4272         275.0701       -13.9114       4.38           
17.082+0.442   1              160            17.0312        0.4284         275.0689       -13.9110       0.00           
17.082+0.442   1              250            17.0307        0.4284         275.0686       -13.9115       1.80           
17.082+0.442   1              350            17.0313        0.4279         275.0694       -13.9112       1.84           
17.082+0.442   2              70             17.1069        0.4692         275.0686       -13.8250       3.60           
17.082+0.442   2              160            17.1069        0.4702         275.0677       -13.8246       0.00           
17.082+0.442   2              250            17.1060        0.4704         275.0671       -13.8253       3.32           
17.082+0.442   2              350            17.1057        0.4705         275.0668       -13.8255       4.45           
17.082+0.442   3              70             17.1409        0.5462         275.0152       -13.7587       2.55           
17.082+0.442   3              160            17.1410        0.5455         275.0159       -13.7590       0.00           
17.082+0.442   3              250            17.1417        0.5442         275.0174       -13.7590       5.32           
17.082+0.442   3              350            17.1418        0.5439         275.0177       -13.7590       6.44           
17.096+0.412   1              70             17.0962        0.4111         275.1162       -13.8619       2.74           
17.096+0.412   1              160            17.0965        0.4118         275.1157       -13.8613       0.00           
17.096+0.412   1              250            17.0959        0.4119         275.1153       -13.8618       2.19           
17.096+0.412   1              350            17.0966        0.4122         275.1154       -13.8610       1.48           
17.1+0.517     1              70             17.0946        0.5243         275.0126       -13.8099       1.08           
17.1+0.517     1              160            17.0949        0.5243         275.0127       -13.8096       0.00           
17.1+0.517     1              250            17.0947        0.5247         275.0123       -13.8096       1.61           
17.1+0.517     1              350            17.0953        0.5249         275.0124       -13.8090       2.60           
17.211+0.782   1              70             17.1704        0.8130         274.7875       -13.6068       1.48           
17.211+0.782   1              160            17.1703        0.8134         274.7871       -13.6067       0.00           
17.211+0.782   1              250            17.1699        0.8131         274.7871       -13.6072       1.80           
17.211+0.782   1              350            17.1703        0.8132         274.7872       -13.6068       0.72           
17.211+0.782   2              70             17.2175        0.8202         274.8038       -13.5619       1.48           
17.211+0.782   2              160            17.2179        0.8203         274.8040       -13.5615       0.00           
17.211+0.782   2              250            17.2176        0.8207         274.8034       -13.5615       1.80           
17.211+0.782   2              350            17.2182        0.8214         274.8031       -13.5607       4.10           
17.252+0.375   1              70             17.2236        0.3954         275.1922       -13.7569       3.10           
17.252+0.375   1              160            17.2241        0.3961         275.1919       -13.7561       0.00           
17.252+0.375   1              250            17.2236        0.3967         275.1911       -13.7563       2.81           
17.252+0.375   1              350            17.2235        0.3970         275.1907       -13.7563       3.89           
17.644+0.074   1              70             17.6296        0.0517         275.7009       -13.5602       3.10           
17.644+0.074   1              160            17.6301        0.0524         275.7005       -13.5594       0.00           
17.644+0.074   1              250            17.6302        0.0530         275.7000       -13.5591       2.19           
17.644+0.074   1              350            17.6306        0.0540         275.6993       -13.5583       6.03           
17.649+0.223   1              70             17.6425        0.2254         275.5494       -13.4673       2.04           
17.649+0.223   1              160            17.6421        0.2258         275.5488       -13.4674       0.00           
17.649+0.223   1              250            17.6422        0.2263         275.5484       -13.4671       1.84           
17.649+0.223   1              350            17.6434        0.2262         275.5491       -13.4661       4.90           
17.656+0.17    1              70             17.6381        0.1559         275.6103       -13.5038       1.14           
17.656+0.17    1              160            17.6382        0.1556         275.6107       -13.5038       0.00           
17.656+0.17    1              250            17.6379        0.1549         275.6112       -13.5044       2.74           
17.656+0.17    1              350            17.6376        0.1549         275.6110       -13.5047       3.32           
17.957+0.083   1              70             17.9639        0.0786         275.8376       -13.2524       0.51           
17.957+0.083   1              160            17.9638        0.0787         275.8375       -13.2524       0.00           
17.957+0.083   1              250            17.9630        0.0791         275.8367       -13.2529       3.22           
17.957+0.083   1              350            17.9626        0.0798         275.8359       -13.2529       5.86           
17.991-0.348   1              70             17.9910        -0.3472        276.2374       -13.4277       2.19           
17.991-0.348   1              160            17.9916        -0.3471        276.2376       -13.4271       0.00           
17.991-0.348   1              250            17.9916        -0.3468        276.2373       -13.4270       1.08           
17.991-0.348   1              350            17.9928        -0.3464        276.2375       -13.4257       5.00           
18.021-0.361   1              70             18.0331        -0.3668        276.2754       -13.3996       2.10           
18.021-0.361   1              160            18.0336        -0.3665        276.2754       -13.3991       0.00           
18.021-0.361   1              250            18.0338        -0.3657        276.2748       -13.3985       2.97           
18.021-0.361   1              350            18.0350        -0.3646        276.2743       -13.3969       8.50           
18.056-0.432   1              70             18.0760        -0.4302        276.3536       -13.3913       5.09           
18.056-0.432   1              160            18.0750        -0.4292        276.3523       -13.3917       0.00           
18.056-0.432   1              250            18.0745        -0.4296        276.3524       -13.3924       2.31           
18.056-0.432   1              350            18.0748        -0.4303        276.3532       -13.3924       4.02           
18.124-0.375   1              70             18.1073        -0.3842        276.3269       -13.3422       5.12           
18.124-0.375   1              160            18.1062        -0.3833        276.3255       -13.3427       0.00           
18.124-0.375   1              250            18.1050        -0.3834        276.3250       -13.3438       4.33           
18.124-0.375   1              350            18.1044        -0.3832        276.3246       -13.3443       6.49           
18.145-0.416   1              70             18.1421        -0.3762        276.3363       -13.3077       2.55           
18.145-0.416   1              160            18.1422        -0.3769        276.3370       -13.3079       0.00           
18.145-0.416   1              250            18.1417        -0.3765        276.3364       -13.3082       2.31           
18.145-0.416   1              350            18.1424        -0.3766        276.3368       -13.3076       1.30           
18.145-0.416   2              70             18.1569        -0.4017        276.3666       -13.3065       1.14           
18.145-0.416   2              160            18.1570        -0.4020        276.3669       -13.3065       0.00           
18.145-0.416   2              250            18.1566        -0.4018        276.3665       -13.3068       1.61           
18.145-0.416   2              350            18.1574        -0.4022        276.3673       -13.3063       1.61           
18.145-0.416   3              70             18.1569        -0.3849        276.3513       -13.2986       0.36           
18.145-0.416   3              160            18.1570        -0.3849        276.3513       -13.2986       0.00           
18.145-0.416   3              250            18.1578        -0.3870        276.3536       -13.2988       8.09           
18.145-0.416   3              350            18.1583        -0.3854        276.3524       -13.2976       5.01           
18.145-0.416   4              70             18.1865        -0.3668        276.3491       -13.2640       4.21           
18.145-0.416   4              160            18.1869        -0.3657        276.3482       -13.2631       0.00           
18.145-0.416   4              250            18.1873        -0.3646        276.3474       -13.2623       4.21           
18.145-0.416   4              350            18.1878        -0.3638        276.3470       -13.2615       7.57           
18.232-0.153   1              70             18.2097        -0.1960        276.2051       -13.1637       2.19           
18.232-0.153   1              160            18.2091        -0.1959        276.2047       -13.1642       0.00           
18.232-0.153   1              250            18.2081        -0.1959        276.2042       -13.1651       3.60           
18.232-0.153   1              350            18.2079        -0.1955        276.2038       -13.1651       4.55           
18.232-0.153   2              70             18.2433        -0.1162        276.1488       -13.0967       2.55           
18.232-0.153   2              160            18.2438        -0.1157        276.1486       -13.0960       0.00           
18.232-0.153   2              250            18.2434        -0.1160        276.1486       -13.0965       1.80           
18.232-0.153   2              350            18.2437        -0.1159        276.1487       -13.0962       0.80           
18.244-0.479   1              70             18.2462        -0.4734        276.4745       -13.2610       1.61           
18.244-0.479   1              160            18.2464        -0.4730        276.4743       -13.2606       0.00           
18.244-0.479   1              250            18.2467        -0.4724        276.4739       -13.2601       2.41           
18.244-0.479   1              350            18.2477        -0.4725        276.4744       -13.2592       5.01           
18.287-0.256   1              70             18.2156        -0.2233        276.2327       -13.1712       1.44           
18.287-0.256   1              160            18.2160        -0.2233        276.2329       -13.1709       0.00           
18.287-0.256   1              250            18.2158        -0.2226        276.2322       -13.1707       2.62           
18.287-0.256   1              350            18.2163        -0.2215        276.2314       -13.1698       6.57           
18.287-0.256   2              70             18.1984        -0.1708        276.1768       -13.1619       1.14           
18.287-0.256   2              160            18.1987        -0.1707        276.1768       -13.1616       0.00           
