map_name       70 glon        70 glat        160 glon       160 glat       250 glon       250 glat       350 glon       350 glat       
29.309-0.786   29.3104        -0.7869        29.3103        -0.7865        29.3110        -0.7860        29.3114        -0.7857        
29.891-0.789   29.8878        -0.7811        29.8881        -0.7813        29.8881        -0.7808        29.8886        -0.7803        
29.962-0.789   29.9089        -0.8031        29.9094        -0.8047        29.9090        -0.8047        29.9093        -0.8046        
30.438-0.1     30.4213        -0.1051        30.4222        -0.1070        30.4220        -0.1064        30.4229        -0.1055        
30.601-0.683   30.5445        -0.5350        30.5442        -0.5352        30.5445        -0.5350        30.5442        -0.5351        
30.827+0.052   30.8222        0.0592         30.8226        0.0593         30.8228        0.0595         30.8237        0.0598         
30.846+0.181   30.8353        0.1668         30.8358        0.1670         30.8359        0.1669         30.8361        0.1675         
30.995-0.763   30.9953        -0.7619        30.9950        -0.7615        30.9961        -0.7616        30.9968        -0.7612        
31.843-0.128   31.8391        -0.1291        31.8396        -0.1292        31.8407        -0.1296        31.8422        -0.1294        
33.39+0.17     33.3889        0.1673         33.3889        0.1676         33.3890        0.1673         33.3895        0.1677         
34.365-0.676   34.3632        -0.6747        34.3642        -0.6741        34.3641        -0.6742        34.3648        -0.6741        
34.731+0.547   34.7299        0.5495         34.7293        0.5500         34.7300        0.5492         34.7302        0.5496         
34.745+0.533   34.7451        0.5341         34.7451        0.5342         34.7461        0.5326         34.7462        0.5328         
34.986+0.316   34.9860        0.3389         34.9856        0.3389         34.9858        0.3386         34.9871        0.3387         
35.023-0.916   35.0226        -0.9166        35.0233        -0.9158        35.0237        -0.9168        35.0236        -0.9169        
35.036-0.204   35.0362        -0.2049        35.0363        -0.2048        35.0366        -0.2053        35.0371        -0.2052        
35.083-0.74    35.1134        -0.7532        35.1130        -0.7529        35.1148        -0.7526        35.1143        -0.7522        
35.133-0.75    35.1322        -0.7438        35.1323        -0.7438        35.1321        -0.7442        35.1326        -0.7440        
35.191-0.758   35.1968        -0.7423        35.1968        -0.7421        35.1963        -0.7437        35.1978        -0.7422        
35.786-0.139   35.7965        -0.1346        35.7969        -0.1347        35.7965        -0.1346        35.7963        -0.1343        
36.657+0.627   36.6569        0.6283         36.6573        0.6282         36.6573        0.6282         36.6575        0.6278         
36.832+0.014   36.8321        0.0149         36.8325        0.0148         36.8322        0.0157         36.8319        0.0175         
37.163+0.083   37.1741        0.0990         37.1738        0.1002         37.1733        0.1002         37.1733        0.1001         
37.492+0.152   37.4928        0.1516         37.4929        0.1518         37.4929        0.1523         37.4934        0.1524         
37.558+0.15    37.5579        0.1504         37.5580        0.1505         37.5579        0.1501         37.5588        0.1498         
38.363-0.919   38.3557        -0.9326        38.3560        -0.9321        38.3565        -0.9320        38.3574        -0.9317        
38.939-0.365   38.8325        -0.5656        38.8326        -0.5655        38.8323        -0.5658        38.8324        -0.5655        
38.939-0.365   38.8426        -0.4555        38.8412        -0.4569        38.8408        -0.4571        38.8405        -0.4575        
38.939-0.365   38.8791        -0.4382        38.8792        -0.4378        38.8792        -0.4387        38.8789        -0.4378        
39.411-0.939   39.4099        -0.9412        39.4099        -0.9390        39.4096        -0.9397        39.4098        -0.9394        
39.896-0.079   39.8986        -0.0751        39.8987        -0.0750        39.8978        -0.0752        39.8980        -0.0755        
40.606-0.097   40.5995        -0.0959        40.6004        -0.0954        40.6012        -0.0968        40.6024        -0.0968        
40.787-0.124   40.7875        -0.1239        40.7878        -0.1241        40.7873        -0.1246        40.7882        -0.1253        
41.065-0.234   41.0667        -0.2420        41.0659        -0.2423        41.0639        -0.2440        41.0638        -0.2436        
41.089-0.274   41.0762        -0.2380        41.0768        -0.2386        41.0763        -0.2397        41.0767        -0.2402        
41.146-0.1     41.1332        -0.1343        41.1331        -0.1346        41.1330        -0.1365        41.1320        -0.1364        
41.182-0.161   41.2158        -0.1685        41.2158        -0.1689        41.2157        -0.1681        41.2163        -0.1672        
43.068-0.045   43.0783        0.0037         43.0785        0.0038         43.0787        0.0034         43.0793        0.0026         
43.068-0.045   43.1281        -0.0349        43.1292        -0.0344        43.1294        -0.0343        43.1297        -0.0332        
43.174-0.075   43.1807        -0.0562        43.1828        -0.0568        43.1828        -0.0568        43.1835        -0.0559        
43.207-0.013   43.0214        -0.0234        43.0214        -0.0229        43.0204        -0.0231        43.0205        -0.0227        
43.207-0.013   43.1651        -0.0282        43.1651        -0.0282        43.1647        -0.0273        43.1656        -0.0270        
46.403-0.236   46.3867        -0.2403        46.3870        -0.2401        46.3869        -0.2397        46.3870        -0.2377        
46.423-0.266   46.4190        -0.2281        46.4187        -0.2273        46.4181        -0.2276        46.4195        -0.2280        
46.866-0.299   46.8715        -0.3010        46.8716        -0.3010        46.8713        -0.3012        46.8710        -0.3012        
48.55-0.026    48.5456        0.0076         48.5472        0.0065         48.5484        0.0063         48.5500        0.0062         
48.553+0.024   48.5436        -0.0170        48.5426        -0.0170        48.5428        -0.0175        48.5430        -0.0170        
48.582-0.001   48.5608        -0.0067        48.5610        -0.0067        48.5617        -0.0059        48.5621        -0.0056        
48.586-0.514   48.6321        -0.4549        48.6319        -0.4573        48.6326        -0.4582        48.6331        -0.4589        
48.602+0.294   48.6097        0.2456         48.6094        0.2472         48.6098        0.2483         48.6084        0.2493         
48.627-0.699   48.6052        -0.6698        48.6046        -0.6691        48.6034        -0.6694        48.6044        -0.6686        
48.642+0.015   48.6325        0.0134         48.6318        0.0111         48.6320        0.0107         48.6343        0.0104         
48.767-0.323   48.7856        -0.3054        48.7875        -0.3048        48.7874        -0.3041        48.7875        -0.3041        
48.852-0.527   48.8739        -0.5077        48.8744        -0.5069        48.8752        -0.5058        48.8749        -0.5060        
48.953-0.28    48.9165        -0.2687        48.9167        -0.2679        48.9173        -0.2671        48.9173        -0.2670        
48.981-0.368   49.0126        -0.3019        49.0136        -0.3035        49.0145        -0.3049        49.0141        -0.3052        
49.113-0.299   49.1323        -0.3008        49.1329        -0.3008        49.1341        -0.3006        49.1344        -0.3010        
49.417-0.025   49.4101        -0.0070        49.4096        -0.0071        49.4100        -0.0073        49.4103        -0.0074        
49.433-0.22    49.4445        -0.2580        49.4448        -0.2589        49.4447        -0.2586        49.4448        -0.2589        
49.478-0.41    49.3901        -0.3255        49.3899        -0.3261        49.3897        -0.3254        49.3905        -0.3255        
49.55-0.542    49.5815        -0.4546        49.5821        -0.4536        49.5832        -0.4520        49.5832        -0.4523        
49.618-0.554   49.6416        -0.4819        49.6400        -0.4841        49.6381        -0.4836        49.6386        -0.4842        
49.736-0.176   49.7281        -0.1745        49.7281        -0.1740        49.7282        -0.1744        49.7303        -0.1753        
51.098+0.113   51.1032        0.1155         51.1021        0.1153         51.1013        0.1150         51.1024        0.1157         
51.803+0.667   51.7845        0.6865         51.7853        0.6854         51.7851        0.6847         51.7868        0.6838         
52.305-0.552   52.2614        -0.5400        52.2622        -0.5388        52.2627        -0.5375        52.2636        -0.5381        
52.676+0.158   52.6784        0.1588         52.6783        0.1590         52.6780        0.1592         52.6781        0.1601         
53.055+0.031   53.0558        0.0387         53.0558        0.0388         53.0555        0.0389         53.0557        0.0384         
53.104+0.259   53.0882        0.2590         53.0885        0.2589         53.0878        0.2590         53.0870        0.2606         
53.184+0.183   53.1859        0.2089         53.1854        0.2089         53.1847        0.2100         53.1850        0.2105         
53.263-0.009   53.2620        0.0083         53.2618        0.0083         53.2608        0.0092         53.2598        0.0084         
53.317+0.034   53.3129        0.0298         53.3128        0.0303         53.3129        0.0309         53.3140        0.0318         
53.401+0.065   53.4174        0.0555         53.4178        0.0558         53.4179        0.0557         53.4180        0.0560         
53.562+0.291   53.5734        0.2754         53.5739        0.2751         53.5750        0.2759         53.5760        0.2749         
53.566+0.239   53.6209        0.2342         53.6204        0.2363         53.6194        0.2369         53.6195        0.2377         
53.586+0.196   53.6148        0.1964         53.6142        0.1958         53.6137        0.1961         53.6124        0.1957         
53.876-0.175   53.9139        -0.1781        53.9125        -0.1799        53.9128        -0.1800        53.9129        -0.1800        
53.876-0.175   53.9150        -0.1385        53.9154        -0.1386        53.9149        -0.1388        53.9148        -0.1375        
54.065-0.017   54.0848        -0.0515        54.0849        -0.0512        54.0848        -0.0508        54.0849        -0.0504        
54.484+1.017   54.4751        0.9555         54.4754        0.9560         54.4746        0.9556         54.4751        0.9561         
55.342-0.571   55.3261        -0.5743        55.3255        -0.5733        55.3242        -0.5735        55.3258        -0.5732        
55.533-0.342   55.5455        -0.3460        55.5461        -0.3447        55.5461        -0.3444        55.5460        -0.3431        
