map_name       250 glon       250 glat       350 glon       350 glat       
19.242+0.071   19.2427        0.0691         19.2432        0.0696         
19.281-0.387   19.2815        -0.3877        19.2823        -0.3875        
19.284+0.455   19.2839        0.4297         19.2849        0.4301         
19.284+0.455   19.3201        0.4442         19.3206        0.4443         
19.284+0.455   19.3046        0.4854         19.3035        0.4841         
19.42-0.089    19.4134        -0.1174        19.4139        -0.1178        
19.52+0.067    19.5284        0.0475         19.5288        0.0487         
19.653-0.118   19.6024        -0.0934        19.6022        -0.0932        
19.653-0.118   19.6441        -0.1542        19.6450        -0.1531        
19.653-0.118   19.6573        -0.1234        19.6576        -0.1231        
19.653-0.118   19.6699        -0.1389        19.6709        -0.1383        
19.834-0.336   19.7966        -0.3626        19.7973        -0.3627        
19.834-0.336   19.8422        -0.3451        19.8418        -0.3457        
19.834-0.749   19.8495        -0.7268        19.8505        -0.7268        
19.968-0.104   19.9689        -0.1043        19.9697        -0.1043        
20.031-0.706   20.0309        -0.7076        20.0318        -0.7068        
20.699-0.084   20.7044        -0.0840        20.7034        -0.0841        
20.775-0.076   20.7579        -0.1074        20.7588        -0.1077        
20.985+0.136   20.9847        0.1356         20.9850        0.1356         
21.321-0.139   21.3213        -0.1389        21.3216        -0.1391        
21.412-0.531   21.4496        -0.6118        21.4500        -0.6111        
21.918-0.002   21.9198        -0.0033        21.9200        -0.0025        
21.977+0.232   21.9768        0.2342         21.9739        0.2319         
22.056+0.19    22.0278        0.1928         22.0280        0.1924         
22.253+0.03    22.2420        0.0360         22.2431        0.0355         
22.31-0.628    22.3098        -0.6268        22.3081        -0.6263        
22.429+0.269   22.3833        0.3048         22.3833        0.3016         
22.429+0.269   22.4153        0.2759         22.4157        0.2760         
22.429+0.269   22.4307        0.2715         22.4317        0.2722         
22.429+0.269   22.4153        0.3174         22.4151        0.3169         
22.429+0.269   22.4383        0.2809         22.4383        0.2810         
22.429+0.269   22.4416        0.2951         22.4429        0.2957         
22.429+0.269   22.4525        0.3097         22.4518        0.3076         
22.429+0.269   22.4682        0.3086         22.4682        0.3094         
22.429+0.269   22.4906        0.3230         22.4901        0.3230         
22.429+0.269   22.5160        0.3096         22.5165        0.3098         
22.429+0.269   22.5128        0.3262         22.5131        0.3259         
22.429+0.269   22.5084        0.3437         22.5087        0.3449         
22.429+0.269   22.5052        0.3550         22.5052        0.3557         
22.429+0.269   22.5276        0.3519         22.5266        0.3534         
22.429+0.269   22.5726        0.3442         22.5705        0.3450         
22.43-0.706    22.4336        -0.7031        22.4321        -0.7033        
22.53+0.274    22.5204        0.2710         22.5200        0.2712         
22.53+0.274    22.5290        0.2746         22.5295        0.2757         
22.546-0.526   22.5127        -0.5187        22.5141        -0.5188        
22.546-0.526   22.5221        -0.5222        22.5220        -0.5211        
