map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
0.341+0.095    7              250            0.3192         -0.0728        266.6654       -28.7014       0.00           
0.341+0.095    7              350            0.3201         -0.0734        266.6666       -28.7010       3.89           
0.341+0.095    8              250            0.2878         -0.0180        266.5935       -28.6998       0.00           
0.341+0.095    8              350            0.2899         -0.0206        266.5972       -28.6993       12.03          
0.341+0.095    9              250            0.2833         0.0385         266.5358       -28.6742       0.00           
0.341+0.095    9              350            0.2841         0.0386         266.5362       -28.6735       2.90           
0.341+0.095    10             250            0.3253         -0.0104        266.6083       -28.6638       0.00           
0.341+0.095    10             350            0.3259         -0.0091        266.6074       -28.6626       5.15           
0.341+0.095    11             250            0.3084         0.0155         266.5730       -28.6648       0.00           
0.341+0.095    11             350            0.3074         0.0168         266.5712       -28.6649       5.90           
0.341+0.095    12             250            0.2968         0.0434         266.5390       -28.6602       0.00           
0.341+0.095    12             350            0.2970         0.0439         266.5386       -28.6597       1.94           
0.341+0.095    13             250            0.3770         0.0164         266.6128       -28.6057       0.00           
0.341+0.095    13             350            0.3774         0.0163         266.6131       -28.6054       1.48           
0.344-0.649    1              250            0.3739         -0.6963        267.3070       -28.9768       0.00           
0.344-0.649    1              350            0.3740         -0.6927        267.3036       -28.9749       12.96          
0.344-0.649    2              250            0.4487         -0.7059        267.3604       -28.9176       0.00           
0.344-0.649    2              350            0.4487         -0.7062        267.3607       -28.9178       1.08           
0.344-0.649    3              250            0.4408         -0.6917        267.3419       -28.9171       0.00           
0.344-0.649    3              350            0.4401         -0.6916        267.3414       -28.9177       2.55           
0.344-0.649    4              250            0.4133         -0.6137        267.2493       -28.9005       0.00           
0.344-0.649    4              350            0.4141         -0.6158        267.2518       -28.9009       8.09           
0.344-0.649    5              250            0.4792         -0.7212        267.3933       -28.8993       0.00           
0.344-0.649    5              350            0.4788         -0.7216        267.3935       -28.8999       2.04           
0.344-0.649    6              250            0.4144         -0.5973        267.2339       -28.8912       0.00           
0.344-0.649    6              350            0.4149         -0.5975        267.2344       -28.8908       1.94           
0.344-0.649    7              250            0.4361         -0.6169        267.2658       -28.8827       0.00           
0.344-0.649    7              350            0.4375         -0.6181        267.2678       -28.8821       6.64           
0.361-0.781    1              250            0.3366         -0.7586        267.3462       -29.0409       0.00           
0.361-0.781    1              350            0.3357         -0.7596        267.3466       -29.0422       4.84           
0.392-0.238    1              250            0.3196         -0.2501        266.8386       -28.7930       0.00           
0.392-0.238    1              350            0.3215         -0.2479        266.8376       -28.7902       10.46          
0.392-0.238    2              250            0.3602         -0.2629        266.8751       -28.7649       0.00           
0.392-0.238    2              350            0.3602         -0.2632        266.8754       -28.7651       1.08           
0.395-0.632    1              250            0.3777         -0.6576        267.2714       -28.9537       0.00           
0.395-0.632    1              350            0.3771         -0.6570        267.2704       -28.9539       3.05           
0.395-0.632    2              250            0.3950         -0.6609        267.2848       -28.9405       0.00           
0.395-0.632    2              350            0.3947         -0.6616        267.2853       -28.9412       2.74           
0.413-0.373    1              250            0.4443         -0.3713        267.0305       -28.7490       0.00           
0.413-0.373    1              350            0.4445         -0.3702        267.0295       -28.7482       4.02           
0.436-0.227    1              250            0.4178         -0.2525        266.8989       -28.7102       0.00           
0.436-0.227    1              350            0.4177         -0.2526        266.8990       -28.7104       0.51           
0.446-0.307    1              250            0.4169         -0.3157        266.9601       -28.7437       0.00           
0.446-0.307    1              350            0.4171         -0.3163        266.9608       -28.7438       2.28           
0.446-0.79     1              250            0.3692         -0.7422        267.3493       -29.0045       0.00           
0.446-0.79     1              350            0.3689         -0.7427        267.3496       -29.0050       2.10           
0.446-0.79     2              250            0.4186         -0.7639        267.3996       -28.9733       0.00           
0.446-0.79     2              350            0.4179         -0.7629        267.3982       -28.9734       4.39           
0.446-0.79     3              250            0.4734         -0.8098        267.4768       -28.9498       0.00           
0.446-0.79     3              350            0.4730         -0.8098        267.4765       -28.9502       1.44           
0.467-0.311    1              250            0.4726         -0.3527        267.0290       -28.7151       0.00           
0.467-0.311    1              350            0.4722         -0.3536        267.0297       -28.7159       3.55           
0.475-0.623    1              250            0.4610         -0.7027        267.3645       -28.9054       0.00           
0.475-0.623    1              350            0.4613         -0.7014        267.3634       -28.9045       4.80           
0.475-0.623    2              250            0.4596         -0.6653        267.3270       -28.8874       0.00           
0.475-0.623    2              350            0.4611         -0.6651        267.3277       -28.8860       5.45           
0.489-0.072    1              250            0.5092         -0.0798        266.7845       -28.5426       0.00           
0.489-0.072    1              350            0.5092         -0.0789        266.7837       -28.5421       3.24           
0.498+0.805    1              250            0.4975         0.7982         265.9265       -28.0948       0.00           
0.498+0.805    1              350            0.4972         0.7978         265.9267       -28.0953       1.80           
0.498+0.805    2              250            0.4975         0.8211         265.9044       -28.0828       0.00           
0.498+0.805    2              350            0.5005         0.8176         265.9096       -28.0821       16.59          
0.504+0.716    1              250            0.5132         0.7196         266.0117       -28.1227       0.00           
0.504+0.716    1              350            0.5133         0.7207         266.0107       -28.1220       3.98           
0.513+0.849    1              250            0.5137         0.8506         265.8856       -28.0536       0.00           
0.513+0.849    1              350            0.5138         0.8514         265.8849       -28.0531       2.90           
0.516-0.423    1              250            0.5030         -0.3696        267.0634       -28.6978       0.00           
0.516-0.423    1              350            0.5027         -0.3711        267.0647       -28.6989       5.51           
0.544-0.287    1              250            0.5152         -0.3167        267.0190       -28.6601       0.00           
0.544-0.287    1              350            0.5158         -0.3168        267.0194       -28.6596       2.19           
0.544-0.287    2              250            0.5060         -0.2771        266.9749       -28.6475       0.00           
0.544-0.287    2              350            0.5073         -0.2768        266.9754       -28.6462       4.80           
0.544-0.287    3              250            0.5401         -0.2963        267.0137       -28.6282       0.00           
0.544-0.287    3              350            0.5407         -0.2961        267.0139       -28.6276       2.28           
0.547-0.058    1              250            0.5568         -0.0292        266.7634       -28.4757       0.00           
0.547-0.058    1              350            0.5576         -0.0279        266.7626       -28.4743       5.50           
0.56+0.817     1              250            0.5611         0.8190         265.9442       -28.0298       0.00           
0.56+0.817     1              350            0.5613         0.8195         265.9439       -28.0293       1.94           
0.561+0.54     1              250            0.5508         0.5706         266.1781       -28.1686       0.00           
0.561+0.54     1              350            0.5515         0.5684         266.1806       -28.1691       8.31           
0.589-0.628    1              250            0.5930         -0.6500        267.3904       -28.7651       0.00           
0.589-0.628    1              350            0.5936         -0.6516        267.3923       -28.7654       6.15           
0.598+0.694    1              250            0.6035         0.6938         266.0902       -28.0592       0.00           
0.598+0.694    1              350            0.6043         0.6933         266.0912       -28.0588       3.40           
0.598+0.694    2              250            0.6780         0.6937         266.1345       -27.9958       0.00           
0.598+0.694    2              350            0.6774         0.6937         266.1341       -27.9963       2.16           
0.598-0.427    1              250            0.6210         -0.4351        267.1967       -28.6305       0.00           
0.598-0.427    1              350            0.6215         -0.4358        267.1977       -28.6305       3.10           
0.598-0.642    1              250            0.6030         -0.6383        267.3848       -28.7505       0.00           
0.598-0.642    1              350            0.6032         -0.6381        267.3847       -28.7503       1.02           
0.612+0.08     1              250            0.6049         0.0712         266.6941       -28.3825       0.00           
0.612+0.08     1              350            0.6045         0.0703         266.6948       -28.3833       3.55           
0.645-0.117    1              250            0.6421         -0.1263        266.9081       -28.4530       0.00           
0.645-0.117    1              350            0.6424         -0.1262        266.9082       -28.4527       1.14           
0.739-0.103    1              250            0.7361         -0.0960        266.9339       -28.3569       0.00           
0.739-0.103    1              350            0.7366         -0.0954        266.9336       -28.3561       2.81           
0.867+0.458    1              250            0.8668         0.4669         266.4651       -27.9531       0.00           
0.867+0.458    1              350            0.8664         0.4653         266.4664       -27.9542       5.94           
0.954+0.217    1              250            0.9507         0.2156         266.7576       -28.0119       0.00           
0.954+0.217    1              350            0.9512         0.2165         266.7570       -28.0110       3.71           
0.966+0.027    1              250            0.9934         0.0378         266.9550       -28.0675       0.00           
0.966+0.027    1              350            0.9937         0.0378         266.9552       -28.0672       1.08           
0.985-0.133    1              250            0.9941         -0.1199        267.1085       -28.1483       0.00           
0.985-0.133    1              350            0.9952         -0.1198        267.1090       -28.1473       3.98           
1.145+0.043    1              250            1.1146         -0.0194        267.0814       -27.9932       0.00           
1.145+0.043    1              350            1.1144         -0.0196        267.0815       -27.9935       1.02           
1.826-0.151    1              250            1.8518         -0.1478        267.6340       -27.4270       0.00           
1.826-0.151    1              350            1.8519         -0.1463        267.6327       -27.4262       5.41           
1.826-0.151    2              250            1.8668         -0.1360        267.6313       -27.4081       0.00           
1.826-0.151    2              350            1.8669         -0.1354        267.6308       -27.4077       2.19           
