map_name       250 glon       250 glat       350 glon       350 glat       
25.266+0.38    25.2706        0.3797         25.2705        0.3796       
25.344-0.063   25.3311        -0.1209        25.3311        -0.1205    
25.354+0.263   25.3394        0.2695         25.3393        0.2704   
25.365-0.435   25.3662        -0.4353        25.3658        -0.4355    
25.563+0.633   25.5631        0.6353         25.5639        0.6350   
25.674-0.123   25.6642        -0.1190        25.6644        -0.1189       
25.747+0.028   25.7470        0.0284         25.7472        0.0290   
25.772+0.215   25.7406        0.2416         25.7399        0.2421  
25.795+0.602   25.7973        0.6021         25.7984        0.6015      
26.147+0.035   26.1457        0.0356         26.1467        0.0346 
26.25-0.03     26.2508        -0.0306        26.2514        -0.0305    
26.291+0.134   26.2596        0.1336         26.2600        0.1342   
26.291+0.134   26.2911        0.1340         26.2910        0.1349   
26.329-0.372   26.3134        -0.3564        26.3133        -0.3565   
26.344+0.135   26.3454        0.1374         26.3449        0.1378  
26.432-0.662   26.4181        -0.6421        26.4185        -0.6414 
26.432-0.662   26.4341        -0.6617        26.4350        -0.6624     
26.432-0.662   26.4535        -0.6755        26.4541        -0.6753        
26.517-0.399   26.5180        -0.3996        26.5193        -0.3989     
26.594-0.303   26.6030        -0.3068        26.6036        -0.3070        
26.657-0.075   26.6579        -0.0753        26.6585        -0.0749   
26.736+0.213   26.7357        0.2266         26.7361        0.2271     
26.851+0.18    26.8219        0.1724         26.8216        0.1720     
26.851+0.18    26.8903        0.1682         26.8906        0.1694   
27.131-0.622   27.1250        -0.6213        27.1252        -0.6211     
27.145+0.004   27.1455        0.0045         27.1459        0.0046   
27.359-0.367   27.3603        -0.3681        27.3604        -0.3663    
27.586+0.06    27.5764        0.0317         27.5761        0.0314         
27.697-0.174   27.7001        -0.1747        27.7000        -0.1744       
27.832-0.338   27.8235        -0.3557        27.8241        -0.3543        
27.838-0.22    27.8297        -0.2325        27.8297        -0.2330   
27.864+0.074   27.8556        0.0657         27.8562        0.0665  
27.895-0.394   27.8959        -0.3932        27.8959        -0.3929   
27.978-0.43    27.9798        -0.4321        27.9793        -0.4320        
28.073+0.116   28.0749        0.1171         28.0756        0.1162   
28.087+0.067   28.0887        0.0687         28.0883        0.0693        
28.111-0.448   28.0894        -0.4631        28.0905        -0.4621    
28.111-0.448   28.1116        -0.4479        28.1102        -0.4472  
28.251-0.47    28.2500        -0.4230        28.2507        -0.4231 
28.275-0.163   28.2726        -0.1669        28.2737        -0.1658  
28.275-0.163   28.3024        -0.1668        28.3025        -0.1665  
28.275-0.163   28.3290        -0.0737        28.3287        -0.0736    
28.333+0.063   28.3552        0.0724         28.3562        0.0732    
28.394-0.113   28.3939        -0.1134        28.3933        -0.1135    
28.447-0.329   28.4457        -0.3166        28.4443        -0.3150  
28.533-0.024   28.5206        -0.0448        28.5203        -0.0452   
28.566-0.339   28.5140        -0.3741        28.5145        -0.3741   
28.566-0.339   28.5810        -0.4007        28.5813        -0.4000   
28.566-0.339   28.5657        -0.2932        28.5665        -0.2921  
28.566-0.339   28.5860        -0.3010        28.5866        -0.3006  
28.566-0.339   28.6019        -0.3106        28.6025        -0.3102 
28.612-0.393   28.5381        -0.2787        28.5382        -0.2787     
28.714+0.143   28.6619        0.1469         28.6614        0.1467         
28.734-0.304   28.7446        -0.2952        28.7449        -0.2945        
28.766-0.289   28.7690        -0.2891        28.7692        -0.2888   
28.905-0.534   28.9113        -0.5490        28.9122        -0.5487  
28.905-0.534   28.9714        -0.5068        28.9718        -0.5066  
28.967-0.492   28.9821        -0.5220        28.9797        -0.5214        
28.986+0.024   28.9866        0.0236         28.9865        0.0247   
29.026-0.623   29.0269        -0.6226        29.0272        -0.6223  
29.071-0.542   29.0861        -0.5700        29.0858        -0.5681    
29.071-0.542   29.1177        -0.5271        29.1163        -0.5295       
29.103-0.61    29.1025        -0.6100        29.1030        -0.6093       
29.119+0.026   29.1403        0.0332         29.1392        0.0335   
29.174-0.496   29.1759        -0.4967        29.1757        -0.4961    
29.284-0.629   29.3131        -0.6120        29.3133        -0.6125        
29.601-0.579   29.5972        -0.5680        29.5981        -0.5672    
29.959-0.054   29.9309        -0.0397        29.9307        -0.0396  
29.962-0.789   29.9407        -0.7887        29.9409        -0.7884   
29.962-0.789   30.0044        -0.8024        30.0041        -0.8027        
30.062+0.108   30.0118        0.0973         30.0127        0.0954        
30.143-0.069   30.1431        -0.0662        30.1427        -0.0665   
30.21-0.113    30.2070        -0.1321        30.2079        -0.1310 
30.303-0.285   30.3003        -0.2780        30.3013        -0.2801       
30.308-0.245   30.3102        -0.2468        30.3104        -0.2466   
30.314-0.137   30.3170        -0.1568        30.3165        -0.1562       
30.314-0.137   30.3155        -0.1378        30.3161        -0.1379       
30.349-0.273   30.3505        -0.2729        30.3517        -0.2716     
30.438-0.1     30.4393        -0.0994        30.4401        -0.0988     
30.492+0.958   30.4938        0.9563         30.4931        0.9564      
30.492+0.958   30.5017        0.9488         30.5020        0.9494    
30.492+0.958   30.5050        0.9605         30.5057        0.9610     
30.578-0.252   30.5828        -0.2104        30.5831        -0.2110 
30.601-0.683   30.5007        -0.5569        30.5005        -0.5569     
30.601-0.683   30.6121        -0.6851        30.6119        -0.6853  
30.601-0.683   30.6629        -0.7290        30.6626        -0.7276  
30.615+0.237   30.6130        0.2353         30.6151        0.2375      
30.62-0.351    30.6209        -0.3524        30.6209        -0.3525   
30.663-0.121   30.6534        -0.1228        30.6527        -0.1213   
30.664-0.423   30.6639        -0.4133        30.6654        -0.4157   
30.807-0.031   30.7714        -0.0864        30.7726        -0.0870   
30.895+0.134   30.8944        0.1390         30.8945        0.1390     
31.023-0.111   31.0237        -0.1114        31.0247        -0.1121        
31.039+0.241   31.0244        0.2621         31.0257        0.2639    
31.039+0.241   31.0451        0.2482         31.0454        0.2483   
31.096+0.221   31.0722        0.2440         31.0728        0.2447        
32.006-0.51    31.9822        -0.4690        31.9832        -0.4687   
32.036-0.331   32.0208        -0.3212        32.0227        -0.3203    
32.107-0.378   32.1307        -0.3720        32.1327        -0.3725    
32.147+0.142   32.0120        0.0570         32.0124        0.0581       
32.326+0.08    32.3372        0.1012         32.3375        0.1011        
32.635-0.255   32.6205        -0.2617        32.6225        -0.2610     
32.635-0.255   32.6188        -0.2389        32.6200        -0.2392   
32.925+0.007   32.9264        0.0079         32.9269        0.0083   
33.212+0.013   33.2021        0.0193         33.2022        0.0193    
33.238+0.27    33.2346        0.2733         33.2368        0.2736     
33.238+0.27    33.2570        0.2754         33.2576        0.2754  
33.325-0.191   33.3238        -0.1922        33.3233        -0.1908   
33.363-0.007   33.3662        -0.0070        33.3671        -0.0069   
33.568+0.027   33.5668        0.0278         33.5666        0.0280       
33.988-0.297   33.9773        -0.2787        33.9776        -0.2780    
34.172+0.477   34.1697        0.4766         34.1692        0.4766  
34.539+0.536   34.5164        0.5509         34.5165        0.5507 
34.707-0.841   34.7069        -0.8410        34.7076        -0.8408    
34.709-0.67    34.7049        -0.6675        34.7047        -0.6666     
34.737-0.78    34.7777        -0.8065        34.7779        -0.8071        
34.739-0.118   34.7393        -0.1186        34.7394        -0.1190    
