map_name       250 glon       250 glat       350 glon       350 glat       
28.565-0.227   28.5406        -0.2359        28.5415        -0.2360   
28.565-0.227   28.6104        -0.2379        28.6109        -0.2366  
28.565-0.227   28.6206        -0.1953        28.6213        -0.1947     
28.566-0.339   28.5202        -0.3033        28.5191        -0.3003    
28.566-0.339   28.5717        -0.3053        28.5725        -0.3059  
28.566-0.339   28.6289        -0.3283        28.6295        -0.3280          
28.575-0.002   28.5528        -0.0108        28.5530        -0.0102  
28.612-0.393   28.5971        -0.3597        28.5970        -0.3591        
28.677-0.278   28.6443        -0.2639        28.6451        -0.2634 
28.677-0.278   28.6963        -0.2576        28.6965        -0.2588        
28.677-0.278   28.7105        -0.2409        28.7088        -0.2407      
28.861+0.204   28.8632        0.2035         28.8632        0.2037  
28.962-0.735   28.9597        -0.6836        28.9597        -0.6829   
29.071-0.542   29.0649        -0.5423        29.0688        -0.5442     
29.071-0.542   29.1011        -0.5403        29.1012        -0.5402     
29.411-0.645   29.4081        -0.6114        29.4087        -0.6131   
29.962-0.789   29.9522        -0.8351        29.9528        -0.8344   
30.449+0.426   30.4341        0.4068         30.4331        0.4075   
30.492+0.958   30.4790        0.9498         30.4791        0.9500   
30.494-0.39    30.4884        -0.4036        30.4886        -0.4036  
30.499-0.223   30.4988        -0.2260        30.4990        -0.2245   
30.762-0.782   30.7632        -0.7809        30.7635        -0.7807    
30.807-0.031   30.6634        -0.1442        30.6644        -0.1424  
30.807-0.031   30.8413        -0.0202        30.8420        -0.0192        
30.807-0.031   30.8643        -0.0393        30.8645        -0.0392  
30.942-0.802   30.9642        -0.8037        30.9649        -0.8043        
31.886-0.895   31.8600        -0.8938        31.8594        -0.8943        
31.887+0.144   31.8780        0.1495         31.8798        0.1497     
31.887+0.144   31.8955        0.1291         31.8978        0.1310     
31.906-0.51    31.8922        -0.5067        31.8936        -0.5065        
31.946+0.076   31.9301        0.0560         31.9301        0.0565      
31.995-0.88    32.0210        -0.8856        32.0216        -0.8856       
32.006-0.51    31.9932        -0.4625        31.9932        -0.4618    
32.036-0.331   32.0513        -0.3464        32.0515        -0.3459        
32.036-0.331   32.0624        -0.3248        32.0635        -0.3240   
32.309-0.885   32.2918        -0.9066        32.2916        -0.9064     
32.309-0.885   32.3380        -0.8458        32.3385        -0.8454  
32.326+0.08    32.3241        0.0723         32.3257        0.0737   
32.635-0.255   32.6648        -0.2464        32.6641        -0.2461     
34.247+0.156   34.2510        0.2041         34.2514        0.2042   
34.685-0.729   34.6564        -0.7349        34.6562        -0.7347        
34.784-0.557   34.7698        -0.5644        34.7710        -0.5640       
35.191-0.758   35.0869        -0.8192        35.0883        -0.8180   
35.549+0.049   35.5562        0.0147         35.5565        0.0147   
35.732-0.873   35.8411        -0.9176        35.8406        -0.9150  
35.732-0.873   35.8255        -0.8115        35.8267        -0.8110        
35.745+0.147   35.7859        0.1822         35.7856        0.1825   
35.839-0.228   35.8620        -0.2312        35.8617        -0.2314  
36.346-0.086   36.3544        -0.1020        36.3530        -0.1013 
37.438+0.141   37.4423        0.1421         37.4438        0.1399   
37.562-0.137   37.4312        -0.0503        37.4322        -0.0498      
37.78-0.265    37.7647        -0.2599        37.7653        -0.2600  
37.841-0.09    37.8826        -0.0972        37.8832        -0.0971    
38.977-0.618   38.9764        -0.6194        38.9771        -0.6196    
38.99-0.812    38.9941        -0.8123        38.9939        -0.8119      
39.286-0.025   39.3095        -0.0520        39.3108        -0.0519   
41.065-0.234   41.1719        -0.1014        41.1712        -0.1016      
41.182-0.161   41.1981        -0.1913        41.1986        -0.1917    
42.137-0.648   41.9888        -0.6837        41.9893        -0.6830   
43.139-0.038   43.1092        0.0178         43.1094        0.0173 
43.139-0.038   43.0996        0.0505         43.1007        0.0500         
43.139-0.038   43.1075        0.0444         43.1074        0.0445         
43.174-0.075   43.1652        -0.0699        43.1650        -0.0699  
43.207-0.013   43.1234        0.0356         43.1238        0.0353     
43.82-0.121    43.8169        -0.1174        43.8178        -0.1177   
44.243+0.084   44.2434        0.0646         44.2436        0.0648    
44.292-0.817   44.2614        -0.8120        44.2613        -0.8119   
44.341+0.115   44.3592        0.0936         44.3573        0.0938      
44.347+0.095   44.3449        0.0974         44.3467        0.0977    
45.169-0.428   45.1426        -0.4052        45.1428        -0.4046  
45.19-0.41     45.1606        -0.4098        45.1601        -0.4093        
45.44-0.106    45.4400        -0.1062        45.4408        -0.1065  
45.787-0.335   45.7409        -0.3307        45.7412        -0.3308    
45.791-0.275   45.7693        -0.3126        45.7685        -0.3127        
45.843-0.333   45.8684        -0.3316        45.8685        -0.3319      
48.602+0.294   48.6168        0.3266         48.6168        0.3277  
48.602+0.294   48.5956        0.3630         48.5955        0.3630     
48.602+0.294   48.6601        0.2904         48.6598        0.2912   
48.602+0.294   48.6404        0.3493         48.6407        0.3502    
48.602+0.294   48.6531        0.3777         48.6529        0.3786  
48.602+0.294   48.6442        0.4010         48.6440        0.4012   
48.641-0.757   48.6218        -0.7277        48.6210        -0.7278      
48.684-0.23    48.6804        -0.2451        48.6798        -0.2457   
48.794-0.616   48.7774        -0.6360        48.7776        -0.6355        
48.842-0.159   48.8807        -0.1770        48.8796        -0.1759        
48.952-0.623   48.8960        -0.5963        48.8970        -0.5975  
49.001-0.206   48.9256        -0.1627        48.9257        -0.1611       
49.108-0.613   49.1909        -0.6298        49.1919        -0.6297  
49.124-0.215   49.1482        -0.1446        49.1479        -0.1438       
49.147-0.475   49.1265        -0.4621        49.1275        -0.4617       
49.181-0.2     49.2806        -0.2400        49.2810        -0.2397    
49.189-0.367   49.0291        -0.2723        49.0291        -0.2713        
49.189-0.367   49.1122        -0.3218        49.1126        -0.3217    
49.232-0.468   49.2572        -0.5139        49.2581        -0.5132  
49.325-0.412   49.3265        -0.4890        49.3268        -0.4884        
49.387-0.405   49.4214        -0.4146        49.4214        -0.4143    
49.398-0.576   49.3914        -0.6127        49.3920        -0.6123        
49.478-0.41    49.5675        -0.2737        49.5663        -0.2733     
49.618-0.554   49.6622        -0.5996        49.6624        -0.5998     
49.648-0.202   49.5934        -0.1923        49.5935        -0.1907   
49.648-0.202   49.6661        -0.2470        49.6671        -0.2460      
49.677-0.463   49.6998        -0.4582        49.7004        -0.4574   
49.703-0.53    49.6932        -0.5567        49.6932        -0.5563     
49.732-0.424   49.7022        -0.4174        49.7021        -0.4175    
50.06+0.001    50.0545        0.0230         50.0543        0.0244      
50.827+0.186   50.8157        0.2002         50.8156        0.2002         
50.827+0.186   50.8134        0.2151         50.8140        0.2169     
50.856+0.017   50.8173        0.0434         50.8168        0.0436   
50.856+0.017   50.8959        -0.0704        50.8961        -0.0700        
50.892+0.223   50.8465        0.2558         50.8465        0.2564      
50.892+0.223   50.8908        0.1883         50.8911        0.1891         
50.892+0.223   50.8646        0.2592         50.8650        0.2593         
50.892+0.223   50.9138        0.1783         50.9136        0.1790  
50.892+0.223   50.9299        0.1698         50.9289        0.1706   
51.048+0.198   51.0388        0.0792         51.0395        0.0796   
51.048+0.198   51.0338        0.1199         51.0334        0.1210    
51.814+0.418   51.7636        0.6355         51.7638        0.6357  
52.173+0.691   52.0816        0.7541         52.0817        0.7547      
53.132+0.257   53.2143        0.1934         53.2152        0.1953   
53.257+0.043   53.2036        0.0767         53.2039        0.0751  
53.396+0.043   53.3910        0.0634         53.3893        0.0599    
53.668-0.163   53.6466        -0.1968        53.6470        -0.1964   
53.694-0.066   53.6906        -0.0817        53.6908        -0.0820      
53.696+0.45    53.7429        0.4505         53.7447        0.4487   
53.784-0.138   53.7824        -0.1122        53.7828        -0.1123     
53.784-0.138   53.7963        -0.1225        53.7962        -0.1224     
53.8+0.008     53.8554        -0.0090        53.8562        -0.0088 
53.811-0.043   53.9198        -0.0130        53.9202        -0.0128        
54.509+0.943   54.5166        0.9592         54.5168        0.9595    
55.143-0.29    55.1007        -0.3368        55.1009        -0.3363   
