map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
24.813-0.107   1              350            24.8170        -0.1288        279.2548       -7.2763        1.30 
24.855+0.683   1              250            24.8552        0.6834         278.5459       -6.8687        0.00           
24.855+0.683   1              350            24.8561        0.6834         278.5463       -6.8679        3.24  
24.964-0.173   5              250            24.9636        -0.1714        279.3608       -7.1657        0.00           
24.964-0.173   5              350            24.9645        -0.1721        279.3619       -7.1652        4.10  
24.964-0.173   7              250            24.9935        -0.0993        279.3101       -7.1060        0.00           
24.964-0.173   7              350            24.9944        -0.0995        279.3107       -7.1053        3.32  
25.046-0.183   1              250            25.0483        -0.1813        279.4089       -7.0950        0.00           
25.046-0.183   1              350            25.0472        -0.1805        279.4077       -7.0956        4.90  
25.075+0.202   1              250            25.0753        0.2019         279.0785       -6.8949        0.00           
25.075+0.202   1              350            25.0754        0.2023         279.0782       -6.8947        1.48 
25.076+0.182   1              250            25.0766        0.1828         279.0962       -6.9026        0.00           
25.076+0.182   1              350            25.0767        0.1826         279.0964       -6.9026        0.80 
25.236+0.451   1              250            25.2369        0.4516         278.9300       -6.6366        0.00           
25.236+0.451   1              350            25.2372        0.4515         278.9302       -6.6364        1.14   
25.266+0.38    1              250            25.2706        0.3797         279.0099       -6.6398        0.00           
25.266+0.38    1              350            25.2705        0.3796         279.0099       -6.6399        0.51 
25.674-0.123   1              250            25.6642        -0.1190        279.6378       -6.5192        0.00           
25.674-0.123   1              350            25.6644        -0.1189        279.6378       -6.5189        0.80 
25.747+0.028   1              250            25.7470        0.0284         279.5442       -6.3780        0.00           
25.747+0.028   1              350            25.7472        0.0290         279.5438       -6.3775        2.28
26.291+0.134   2              250            26.2911        0.1340         279.7009       -5.8461        0.00           
26.291+0.134   2              350            26.2910        0.1349         279.7000       -5.8457        3.26  
26.344+0.135   1              250            26.3454        0.1374         279.7229       -5.7962        0.00           
26.344+0.135   1              350            26.3449        0.1378         279.7223       -5.7965        2.31 
26.432-0.662   2              250            26.4181        -0.6421        280.4530       -6.0886        0.00           
26.432-0.662   2              350            26.4185        -0.6414        280.4526       -6.0879        2.90    
26.432-0.662   3              250            26.4341        -0.6617        280.4779       -6.0834        0.00           
26.432-0.662   3              350            26.4350        -0.6624        280.4790       -6.0829        4.10 
26.432-0.662   4              250            26.4535        -0.6755        280.4992       -6.0724        0.00           
26.432-0.662   4              350            26.4541        -0.6753        280.4993       -6.0718        2.28  
26.657-0.075   1              250            26.6579        -0.0753        280.0568       -5.6160        0.00           
26.657-0.075   1              350            26.6585        -0.0749        280.0567       -5.6153        2.60 
26.736+0.213   1              250            26.7357        0.2266         279.8230       -5.4085        0.00           
26.736+0.213   1              350            26.7361        0.2271         279.8228       -5.4079        2.31 
27.145+0.004   1              250            27.1455        0.0045         280.2098       -5.1460        0.00           
27.145+0.004   1              350            27.1459        0.0046         280.2099       -5.1456        1.48  
27.832-0.338   1              250            27.8235        -0.3557        280.8426       -4.7078        0.00           
27.832-0.338   1              350            27.8241        -0.3543        280.8416       -4.7066        5.48   
28.073+0.116   1              250            28.0749        0.1171         280.5361       -4.2681        0.00           
28.073+0.116   1              350            28.0756        0.1162         280.5372       -4.2678        4.10  
28.087+0.067   1              250            28.0887        0.0687         280.5856       -4.2779        0.00           
28.087+0.067   1              350            28.0883        0.0693         280.5849       -4.2780        2.60  
28.111-0.448   2              250            28.1116        -0.4479        281.0569       -4.4937        0.00           
28.111-0.448   2              350            28.1102        -0.4472        281.0557       -4.4946        5.63 
28.275-0.163   1              250            28.2726        -0.1669        280.8800       -4.2221        0.00           
28.275-0.163   1              350            28.2737        -0.1658        280.8795       -4.2206        5.60 
28.333+0.063   1              250            28.3552        0.0724         280.7045       -4.0392        0.00           
28.333+0.063   1              350            28.3562        0.0732         280.7042       -4.0380        4.61   
28.394-0.113   1              250            28.3939        -0.1134        280.8879       -4.0897        0.00           
28.394-0.113   1              350            28.3933        -0.1135        280.8877       -4.0903        2.19  
28.565-0.227   2              250            28.5806        -0.2312        281.0785       -3.9775        0.00           
