map_name       250 glon       250 glat       350 glon       350 glat       
48.627-0.699   48.6072        -0.6879        48.6082        -0.6870   
48.73-0.385    48.7095        -0.3998        48.7089        -0.4010      
49.108-0.613   49.1585        -0.6193        49.1588        -0.6191        
49.157-0.264   49.1252        -0.2515        49.1257        -0.2523    
49.675-0.157   49.6616        -0.1238        49.6615        -0.1247       
50.892+0.223   50.8925        0.2410         50.8924        0.2415    
51.803+0.667   51.7594        0.6684         51.7586        0.6695         
51.814+0.418   51.8004        0.3535         51.8012        0.3516   
53.06-0.012    53.0654        -0.0021        53.0664        -0.0014        
53.132+0.257   53.1241        0.2299         53.1243        0.2299      
53.694-0.066   53.7009        -0.0862        53.7008        -0.0857        
54.368-0.016   54.4028        -0.0698        54.4010        -0.0695   
54.509+0.943   54.5274        0.9888         54.5275        0.9894    
55.08+0.318    55.0916        0.3325         55.0957        0.3337     
