map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
31.039+0.241   3              250            31.0643        0.3302         281.7137       -1.5115        0.00           
31.039+0.241   3              350            31.0648        0.3305         281.7136       -1.5109        2.10      
31.906-0.51    1              250            31.8977        -0.5226        282.8530       -1.1587        0.00           
31.906-0.51    1              350            31.8968        -0.5236        282.8535       -1.1600        4.84  
31.906-0.51    3              250            31.9228        -0.5110        282.8542       -1.1311        0.00           
31.906-0.51    3              350            31.9223        -0.5107        282.8537       -1.1314        2.10    
31.946+0.076   2              250            31.9356        0.0918         282.3234       -0.8448        0.00           
31.946+0.076   2              350            31.9361        0.0917         282.3237       -0.8444        1.84  
32.006-0.51    1              250            31.9934        -0.5110        282.8863       -1.0683        0.00           
32.006-0.51    1              350            31.9937        -0.5072        282.8831       -1.0663        13.72   
32.036-0.331   2              250            32.0347        -0.3288        282.7430       -0.9484        0.00           
32.036-0.331   2              350            32.0348        -0.3285        282.7428       -0.9482        1.14     
33.363-0.007   1              250            33.3444        -0.0024        283.0497       0.3660         0.00           
33.363-0.007   1              350            33.3445        -0.0023        283.0497       0.3661         0.51   
33.589-0.035   1              250            33.5915        -0.0363        283.1926       0.5705         0.00           
33.589-0.035   1              350            33.5924        -0.0360        283.1927       0.5714         3.42 
34.131+0.075   1              250            34.1468        0.0950         283.3289       1.1245         0.00           
34.131+0.075   1              350            34.1452        0.0941         283.3290       1.1227         6.61          
35.125+0.334   1              250            35.1456        0.3619         283.5470       2.1351         0.00           
35.125+0.334   1              350            35.1456        0.3617         283.5472       2.1350         0.72
35.527-0.269   1              250            35.4994        -0.3036        284.3012       2.1463         0.00           
35.527-0.269   1              350            35.5003        -0.3037        284.3017       2.1470         3.26    
35.571-0.897   1              250            35.5658        -0.8918        284.8551       1.9367         0.00           
35.571-0.897   1              350            35.5655        -0.8918        284.8550       1.9365         1.08  
36.59-0.059    1              250            36.5986        -0.0712        284.5967       3.2303         0.00           
36.59-0.059    1              350            36.5987        -0.0717        284.5972       3.2302         1.84 
38.341-0.802   1              250            38.3416        -0.8355        286.0771       4.4303         0.00           
38.341-0.802   1              350            38.3421        -0.8341        286.0761       4.4314         5.35   
38.854-0.501   3              250            38.8862        -0.4792        286.0100       5.0777         0.00           
38.854-0.501   3              350            38.8870        -0.4786        286.0098       5.0786         3.60   
39.328-0.321   1              250            39.3366        -0.3009        286.0583       5.5597         0.00           
39.328-0.321   1              350            39.3368        -0.3003        286.0578       5.5601         2.28  
40.429-0.018   1              250            40.4338        -0.0734        286.3614       6.6389         0.00           
40.429-0.018   1              350            40.4338        -0.0746        286.3625       6.6383         4.32  
40.429-0.018   2              250            40.4050        -0.0039        286.2859       6.6452         0.00           
40.429-0.018   2              350            40.4057        -0.0034        286.2858       6.6461         3.10   
41.089-0.274   1              250            41.0428        -0.3024        286.8482       7.0745         0.00           
41.089-0.274   1              350            41.0431        -0.3018        286.8478       7.0750         2.41    
42.401-0.309   1              250            42.4151        -0.2712        287.4584       8.3067         0.00           
42.401-0.309   1              350            42.4143        -0.2701        287.4570       8.3065         4.90     
43.139-0.038   3              250            43.1208        0.0098         287.5358       9.0625         0.00           
43.139-0.038   3              350            43.1218        0.0088         287.5371       9.0629         5.09   
43.139-0.038   6              250            43.1999        -0.0632        287.6383       9.0989         0.00           
43.139-0.038   6              350            43.2015        -0.0643        287.6401       9.0998         6.99       
43.139-0.038   7              250            43.2170        -0.0597        287.6432       9.1157         0.00           
43.139-0.038   7              350            43.2172        -0.0592        287.6428       9.1161         1.94  
48.582-0.001   1              250            48.6123        -0.0181        290.1703       13.9098        0.00           
48.582-0.001   1              350            48.6126        -0.0175        290.1699       13.9103        2.41  
48.602+0.294   1              250            48.5810        0.2340         289.9258       14.0005        0.00           
48.602+0.294   1              350            48.5795        0.2348         289.9243       13.9995        6.12  
48.602+0.294   3              250            48.5978        0.2953         289.8781       14.0440        0.00           
48.602+0.294   3              350            48.5976        0.2958         289.8775       14.0441        1.94    
48.602+0.294   4              250            48.6294        0.2742         289.9126       14.0621        0.00           
48.602+0.294   4              350            48.6297        0.2750         289.9120       14.0627        3.08   
48.602+0.294   5              250            48.6192        0.2874         289.8956       14.0592        0.00           
48.602+0.294   5              350            48.6198        0.2882         289.8952       14.0602        3.60  
48.627-0.699   1              250            48.6072        -0.6879        290.7761       13.5898        0.00           
48.627-0.699   1              350            48.6082        -0.6870        290.7758       13.5911        4.84 
48.73-0.385    1              250            48.7095        -0.3998        290.5643       13.8159        0.00           
48.73-0.385    1              350            48.7089        -0.4010        290.5651       13.8148        4.83    
49.108-0.613   1              250            49.1585        -0.6193        290.9821       14.1081        0.00           
49.108-0.613   1              350            49.1588        -0.6191        290.9821       14.1085        1.30      
49.157-0.264   1              250            49.1252        -0.2515        290.6315       14.2524        0.00           
49.157-0.264   1              350            49.1257        -0.2523        290.6325       14.2525        3.40   
49.675-0.157   1              250            49.6616        -0.1238        290.7767       14.7856        0.00           
49.675-0.157   1              350            49.6615        -0.1247        290.7774       14.7851        3.26   
50.892+0.223   6              250            50.8925        0.2410         291.0468       16.0427        0.00           
50.892+0.223   6              350            50.8924        0.2415         291.0463       16.0429        1.84
51.803+0.667   1              250            51.7594        0.6684         291.0820       17.0087        0.00           
51.803+0.667   1              350            51.7586        0.6695         291.0806       17.0085        4.90  
51.814+0.418   2              250            51.8004        0.3535         291.3922       16.8955        0.00           
51.814+0.418   2              350            51.8012        0.3516         291.3944       16.8953        7.42   
53.06-0.012    1              250            53.0654        -0.0021        292.3517       17.8379        0.00           
53.06-0.012    1              350            53.0664        -0.0014        292.3516       17.8391        4.39 
53.132+0.257   1              250            53.1241        0.2299         292.1671       18.0004        0.00           
53.132+0.257   1              350            53.1243        0.2299         292.1672       18.0006        0.72  
53.694-0.066   2              250            53.7009        -0.0862        292.7502       18.3550        0.00           
53.694-0.066   2              350            53.7008        -0.0857        292.7497       18.3552        1.84   
54.368-0.016   1              250            54.4028        -0.0698        293.0920       18.9780        0.00           
54.368-0.016   1              350            54.4010        -0.0695        293.0908       18.9766        6.57 
54.509+0.943   3              250            54.5274        0.9888         292.1717       19.5957        0.00           
54.509+0.943   3              350            54.5275        0.9894         292.1712       19.5961        2.19  
55.08+0.318    1              250            55.0916        0.3325         293.0708       19.7754        0.00           
55.08+0.318    1              350            55.0957        0.3337         293.0718       19.7796        15.38  
