map_name       250 glon       250 glat       350 glon       350 glat       
39.889-0.149   39.8818        -0.1923        39.8821        -0.1921   
41.049-0.138   41.0946        -0.1202        41.0952        -0.1194    
41.065-0.234   41.1179        -0.1880        41.1201        -0.1849  
41.182-0.161   41.1522        -0.1549        41.1522        -0.1543      
41.382+0.021   41.3744        0.0084         41.3752        0.0076    
42.137-0.648   42.1368        -0.5824        42.1377        -0.5827     
43.186-0.549   43.1917        -0.4915        43.1921        -0.4911   
43.207-0.013   43.1493        -0.0438        43.1498        -0.0427       
43.207-0.013   43.1947        -0.0362        43.1958        -0.0361      
44.51-0.827    44.4984        -0.8444        44.4982        -0.8470   
45.386+0.082   45.3782        0.0833         45.3793        0.0838       
45.42-0.686    45.3588        -0.5891        45.3590        -0.5890   
45.787-0.335   45.8225        -0.3043        45.8217        -0.3052     
45.8-0.302     45.7943        -0.3250        45.7938        -0.3271    
48.641-0.757   48.6515        -0.7557        48.6517        -0.7558    
48.678+0.326   48.6747        0.3060         48.6750        0.3073    
48.737-0.811   48.7265        -0.8500        48.7278        -0.8519    
48.852-0.527   48.8529        -0.5252        48.8534        -0.5244   
48.952-0.623   48.9659        -0.5833        48.9612        -0.5847        
48.954-0.143   48.9425        -0.1657        48.9428        -0.1668        
49.124-0.215   49.0759        -0.2485        49.0757        -0.2464        
49.155-0.319   49.1458        -0.3426        49.1468        -0.3427      
49.183+0.059   49.1959        0.0437         49.1967        0.0456      
49.442-0.535   49.4375        -0.5490        49.4375        -0.5485   
49.55-0.542    49.4506        -0.6090        49.4519        -0.6083      
49.582-0.351   49.5752        -0.3769        49.5760        -0.3790    
49.828-0.431   49.8175        -0.4560        49.8168        -0.4576  
50.06+0.001    50.0364        0.0120         50.0361        0.0119   
50.892+0.223   50.9059        0.2432         50.9079        0.2435         
51.048+0.198   50.9379        0.2530         50.9405        0.2556  
51.814+0.418   51.7742        0.3517         51.7750        0.3514  
51.814+0.418   51.7742        0.4356         51.7747        0.4366      
51.823+0.499   51.8080        0.4814         51.8079        0.4775  
52.385-0.539   52.4096        -0.5376        52.4107        -0.5364        
53.132+0.257   53.1815        0.2295         53.1813        0.2309    
53.132+0.257   53.1966        0.2229         53.1967        0.2235    
53.149+0.189   53.1568        0.1982         53.1567        0.1976           
53.257+0.043   53.2628        0.0237         53.2633        0.0240 
53.694-0.066   53.7307        -0.0662        53.7285        -0.0663   
53.8+0.008     53.7722        0.0061         53.7741        0.0059   
53.8+0.008     53.7678        0.0324         53.7683        0.0328      
53.8+0.008     53.8386        -0.0391        53.8373        -0.0377      
53.989-0.085   53.9817        -0.1114        53.9823        -0.1130       
55.143-0.29    55.1425        -0.3115        55.1419        -0.3118         
