map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
26.581+0.429   1              350            26.5660        0.4259         279.5669       -5.4679        5.01 
26.594-0.303   1              250            26.5766        -0.2952        280.2158       -5.7889        0.00           
26.594-0.303   1              350            26.5781        -0.2949        280.2163       -5.7875        5.51  
27.023-0.099   1              250            27.0137        -0.1433        280.2812       -5.3308        0.00           
27.023-0.099   1              350            27.0125        -0.1439        280.2812       -5.3321        4.83 
27.795-0.296   1              250            27.8069        -0.2934        280.7794       -4.6941        0.00           
27.795-0.296   1              350            27.8073        -0.2943        280.7804       -4.6942        3.55 
27.971+0.094   1              250            27.9693        0.0943         280.5080       -4.3724        0.00           
27.971+0.094   1              350            27.9705        0.0952         280.5078       -4.3709        5.40
28.277-0.352   1              250            28.2941        -0.3445        281.0483       -4.2841        0.00           
28.277-0.352   1              350            28.2963        -0.3439        281.0488       -4.2819        8.21 
28.566-0.339   4              250            28.5390        -0.3013        281.1219       -4.0465        0.00           
28.566-0.339   4              350            28.5390        -0.3019        281.1225       -4.0468        2.16  
28.566-0.339   6              250            28.5568        -0.3130        281.1405       -4.0360        0.00           
28.566-0.339   6              350            28.5575        -0.3122        281.1401       -4.0350        3.83    
28.566-0.339   7              250            28.6133        -0.3950        281.2395       -4.0232        0.00           
28.566-0.339   7              350            28.6126        -0.3931        281.2375       -4.0230        7.29 
28.566-0.339   10             250            28.6311        -0.3982        281.2505       -4.0088        0.00           
28.566-0.339   10             350            28.6319        -0.3976        281.2503       -4.0079        3.60 
28.566-0.339   11             250            28.5902        -0.3164        281.1588       -4.0079        0.00           
28.566-0.339   11             350            28.5907        -0.3165        281.1591       -4.0075        1.84  
28.724+0.239   1              250            28.7759        0.2340         280.7532       -3.5912        0.00           
28.724+0.239   1              350            28.7750        0.2344         280.7524       -3.5918        3.55  
28.788-0.011   1              250            28.7901        -0.0097        280.9769       -3.6899        0.00           
28.788-0.011   1              350            28.7913        -0.0089        280.9767       -3.6885        5.19 
28.849+0.051   1              250            28.8531        0.0438         280.9581       -3.6095        0.00           
28.849+0.051   1              350            28.8532        0.0451         280.9570       -3.6088        4.69 
29.411-0.645   1              250            29.4073        -0.6320        281.8140       -3.4249        0.00           
29.411-0.645   1              350            29.4085        -0.6336        281.8159       -3.4246        7.20 
29.607-0.627   1              250            29.5905        -0.6467        281.9108       -3.2686        0.00           
29.607-0.627   1              350            29.5900        -0.6468        281.9106       -3.2691        1.84 
29.962-0.789   1              250            29.8667        -0.7939        282.1681       -3.0899        0.00           
29.962-0.789   1              350            29.8667        -0.7931        282.1674       -3.0896        2.88 
29.962-0.789   3              250            29.9279        -0.8049        282.2058       -3.0405        0.00           
29.962-0.789   3              350            29.9274        -0.8038        282.2046       -3.0404        4.35 
29.962-0.789   7              250            29.9733        -0.7707        282.1961       -2.9845        0.00           
29.962-0.789   7              350            29.9742        -0.7694        282.1953       -2.9831        5.69  
30.283+0.058   1              250            30.2832        0.0584         281.5990       -2.3305        0.00           
30.283+0.058   1              350            30.2839        0.0594         281.5984       -2.3294        4.39 
30.885+0.152   1              250            30.9045        0.1484         281.8026       -1.7366        0.00           
30.885+0.152   1              350            30.9051        0.1487         281.8026       -1.7359        2.41 
31.164+0.277   1              250            31.1640        0.2779         281.8057       -1.4466        0.00           
31.164+0.277   1              350            31.1654        0.2787         281.8057       -1.4450        5.80
31.946+0.076   3              250            32.0061        0.0383         282.4032       -0.8065        0.00           
31.946+0.076   3              350            32.0062        0.0362         282.4051       -0.8074        7.57   
32.718-0.3     1              250            32.7029        -0.2922        283.0151       -0.3371        0.00           
32.718-0.3     1              350            32.7029        -0.2919        283.0148       -0.3369        1.08  
34.258+0.109   1              250            34.2810        0.1012         283.3846       1.2468         0.00           
34.258+0.109   1              350            34.2817        0.1010         283.3851       1.2473         2.62 
35.002+0.355   1              250            35.0079        0.3427         283.5013       2.0038         0.00           
35.002+0.355   1              350            35.0066        0.3431         283.5003       2.0029         4.90 
35.549+0.049   3              250            35.5668        0.0340         284.0313       2.3604         0.00           
35.549+0.049   3              350            35.5667        0.0348         284.0306       2.3606         2.90   
35.732-0.873   1              250            35.6997        -0.9817        284.9963       2.0148         0.00           
35.732-0.873   1              350            35.7005        -0.9831        284.9979       2.0148         5.80
35.732-0.873   2              250            35.7464        -0.9268        284.9688       2.0814         0.00           
35.732-0.873   2              350            35.7466        -0.9265        284.9686       2.0817         1.30 
35.732-0.873   5              250            35.8272        -0.8442        284.9322       2.1910         0.00           
35.732-0.873   5              350            35.8277        -0.8424        284.9309       2.1923         6.73 
35.745+0.147   1              250            35.7626        0.1561         284.0120       2.5903         0.00           
35.745+0.147   1              350            35.7602        0.1558         284.0112       2.5880         8.71
