-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
-------------------------------------------------------------------------------------
  15.007+0.008      1        15.0092         0.0156       274.4558       -15.8878
  15.054+0.086      1        15.0173         0.0165       274.4589       -15.8803
  15.054+0.086      2        14.9851         0.0759       274.3887       -15.8805
  15.054+0.086      3        15.0118         0.0670       274.4100       -15.8612
  15.054+0.086      4        15.0148         0.0914       274.3891       -15.8470
  15.054+0.086      5        15.0530         0.0821       274.4165       -15.8177
  15.054+0.086      6        15.0730         0.0994       274.4106       -15.7920
   15.064+0.03      1        15.0670         0.0376       274.4642       -15.8265
   15.074+0.13      1        15.0781         0.1305       274.3846       -15.7727
  15.078-0.259      1        15.0855        -0.2746       274.7592       -15.9581
  15.078-0.259      2        15.0835        -0.2692       274.7532       -15.9573
  15.078-0.259      3        15.0794        -0.2609       274.7435       -15.9570
  15.078-0.259      4        15.0917        -0.2688       274.7569       -15.9499
  15.126-0.491      1        15.1288        -0.4958       274.9832       -16.0244
  15.186-0.132      1        15.1839        -0.1532       274.6963       -15.8140
  15.221-0.427      1        15.1902        -0.4473       274.9689       -15.9474
  15.221-0.427      2        15.1950        -0.4539       274.9773       -15.9463
  15.221-0.427      3        15.1971        -0.4454       274.9706       -15.9404
  15.221-0.427      4        15.2006        -0.4493       274.9758       -15.9392
  15.221-0.427      5        15.2074        -0.4551       274.9845       -15.9359
  15.221-0.427      6        15.1983        -0.4387       274.9650       -15.9362
  15.221-0.427      7        15.2132        -0.4514       274.9840       -15.9290
  15.221-0.427      8        15.2095        -0.4459       274.9771       -15.9298
  15.221-0.427      9        15.2051        -0.4376       274.9673       -15.9297
   15.23-0.474      1        15.2135        -0.4820       275.0121       -15.9432
   15.23-0.474      2        15.2214        -0.4827       275.0167       -15.9366
  15.262-0.156      1        15.2571        -0.1560       274.7349       -15.7508
  15.264-0.203      1        15.2767        -0.2172       274.8005       -15.7624
  15.264-0.203      2        15.2696        -0.1828       274.7656       -15.7525
  15.271-0.125      1        15.2702        -0.1200       274.7084       -15.7222
  15.271-0.125      2        15.2786        -0.1084       274.7019       -15.7093
  15.282-0.091      1        15.2786        -0.1084       274.7019       -15.7093
  15.286+0.168      1        15.2708         0.1585       274.4539       -15.5898
  15.286+0.168      2        15.2633         0.2090       274.4041       -15.5725
  15.286+0.168      3        15.3022         0.1907       274.4399       -15.5469
  15.288+0.225      1        15.2800         0.2243       274.3984       -15.5504
  15.329-0.153      1        15.3154        -0.1600       274.7671       -15.7013
  15.329-0.153      2        15.3419        -0.1403       274.7622       -15.6687
  15.329-0.153      3        15.3393        -0.1359       274.7569       -15.6688
  15.448-0.107      1        15.4513        -0.1051       274.7836       -15.5556
   15.491+0.13      1        15.4913         0.1315       274.5871       -15.4084
  15.503-0.417      1        15.4932        -0.4154       275.0882       -15.6652
  15.536-0.405      1        15.5076        -0.3847       275.0672       -15.6380
  15.536-0.405      2        15.5294        -0.4065       275.0978       -15.6291
  15.536-0.405      3        15.5623        -0.3868       275.0959       -15.5908
   15.55-0.454      1        15.5502        -0.4552       275.1526       -15.6337
   15.55-0.454      2        15.5581        -0.4636       275.1641       -15.6306
  15.631-0.377      1        15.6245        -0.3871       275.1266       -15.5361
  15.631-0.377      2        15.6314        -0.3958       275.1379       -15.5340
  15.715-0.597      1        15.7182        -0.5938       275.3617       -15.5507
  15.715-0.597      2        15.7296        -0.6112       275.3832       -15.5489
  15.715-0.597      3        15.6965        -0.5221       275.2853       -15.5362
  15.715-0.597      4        15.7355        -0.5857       275.3627       -15.5317
   15.786-0.41      1        15.7850        -0.4300       275.2443       -15.4147
   15.786-0.41      2        15.7956        -0.4143       275.2352       -15.3980
   15.786-0.41      3        15.7951        -0.4055       275.2268       -15.3943
   15.786-0.41      4        15.8073        -0.4107       275.2376       -15.3860
   15.786-0.41      5        15.8001        -0.3917       275.2167       -15.3833
  15.867-0.771      1        15.8680        -0.7754       275.6011       -15.5039
  15.904+0.027      1        15.9102         0.0145       274.8993       -15.0947
  15.904+0.027      2        15.9060         0.0264       274.8863       -15.0928
  15.907-0.147      1        15.9045        -0.1375       275.0353       -15.1715
  15.908+0.154      1        15.9065         0.1549       274.7693       -15.0316
  15.942-0.566      1        15.9407        -0.5809       275.4584       -15.3483
  15.942-0.566      2        15.9333        -0.5669       275.4420       -15.3483
  15.942-0.566      3        15.9373        -0.5637       275.4410       -15.3432
  15.942-0.566      4        15.9547        -0.5676       275.4530       -15.3297
  15.999+0.288      1        15.9955         0.2800       274.6988       -14.8940
  16.225+0.446      1        16.2188         0.4349       274.6669       -14.6240
  16.225+0.446      2        16.2226         0.4490       274.6560       -14.6140
   16.231+0.41      1        16.2310         0.4044       274.7006       -14.6277
   16.231+0.41      2        16.2269         0.4124       274.6914       -14.6275
  16.305-0.072      1        16.3260        -0.0684       275.1779       -14.7672
  16.305-0.072      2        16.3241        -0.0631       275.1722       -14.7663
  16.305-0.072      3        16.3351        -0.0750       275.1884       -14.7622
  16.335-0.213      1        16.3067        -0.2034       275.2917       -14.8478
  16.335-0.213      2        16.3319        -0.2382       275.3357       -14.8419
  16.335-0.213      3        16.3372        -0.2238       275.3251       -14.8304
  16.335-0.213      4        16.3449        -0.2338       275.3381       -14.8284
  16.335-0.213      5        16.3549        -0.2159       275.3266       -14.8112
  16.335-0.213      6        16.3654        -0.2143       275.3302       -14.8011
  16.335-0.213      7        16.3624        -0.2064       275.3216       -14.8001
  16.345+0.476      1        16.3456         0.4766       274.6909       -14.4925
    16.36-0.25      1        16.3487        -0.2671       275.3703       -14.8407
  16.361-0.078      1        16.3588        -0.0725       275.1977       -14.7402
  16.377-0.184      1        16.3750        -0.1818       275.3053       -14.7773
  16.379-0.044      1        16.3646        -0.0641       275.1928       -14.7311
  16.379-0.044      2        16.3848        -0.0981       275.2336       -14.7293
  16.379-0.044      3        16.3698        -0.0693       275.2001       -14.7290
  16.379-0.044      4        16.3847        -0.0938       275.2297       -14.7274
  16.379-0.044      5        16.3659        -0.0574       275.1873       -14.7268
  16.379-0.044      6        16.3642        -0.0498       275.1796       -14.7247
  16.379-0.044      7        16.3789        -0.0750       275.2097       -14.7236
  16.379-0.044      8        16.3741        -0.0637       275.1971       -14.7225
  16.379-0.044      9        16.3780        -0.0706       275.2053       -14.7223
  16.379-0.044     10        16.3763        -0.0664       275.2007       -14.7218
  16.379-0.044     11        16.3736        -0.0544       275.1883       -14.7186
  16.379-0.044     12        16.3733        -0.0455       275.1801       -14.7147
  16.379-0.044     13        16.3761        -0.0491       275.1848       -14.7139
  16.379-0.044     14        16.3782        -0.0423       275.1795       -14.7088
  16.379-0.044     15        16.3961        -0.0558       275.2006       -14.6994
  16.386-0.212      1        16.3624        -0.2064       275.3216       -14.8001
  16.386-0.212      2        16.3628        -0.2007       275.3165       -14.7970
  16.386-0.212      3        16.3693        -0.2109       275.3291       -14.7961
  16.386-0.212      4        16.4029        -0.1812       275.3183       -14.7524
   16.44-0.378      1        16.4183        -0.3723       275.5002       -14.8287
   16.44-0.378      2        16.4324        -0.3721       275.5068       -14.8162
   16.44-0.378      3        16.4461        -0.3874       275.5275       -14.8113
   16.44-0.378      4        16.4564        -0.3856       275.5309       -14.8013
   16.44-0.378      5        16.4665        -0.3960       275.5453       -14.7973
  16.447+0.447      1        16.3979         0.4251       274.7634       -14.4709
  16.447+0.447      2        16.4179         0.4447       274.7553       -14.4439
  16.447+0.447      3        16.4258         0.4458       274.7582       -14.4364
  16.447+0.447      4        16.4552         0.4316       274.7855       -14.4172
  16.447+0.447      5        16.4695         0.4911       274.7383       -14.3765
  16.447+0.447      6        16.4951         0.4674       274.7724       -14.3651
  16.447+0.447      7        16.4843         0.5058       274.7322       -14.3566
  16.452+0.415      1        16.4552         0.4316       274.7855       -14.4172
  16.475-0.184      1        16.4413        -0.2018       275.3557       -14.7283
  16.475-0.184      2        16.4442        -0.1938       275.3499       -14.7219
  16.496-0.243      1        16.4952        -0.2511       275.4270       -14.7039
  16.496-0.243      2        16.4932        -0.2370       275.4132       -14.6990
  16.571-0.367      1        16.5709        -0.3654       275.5681       -14.6908
  16.571-0.367      2        16.5750        -0.3623       275.5672       -14.6857
  16.584-0.082      1        16.5781        -0.0813       275.3124       -14.5508
  16.588-0.053      1        16.5847        -0.0502       275.2873       -14.5304
  16.597-0.318      1        16.5985        -0.3168       275.5371       -14.6436
  16.599-0.312      1        16.5927        -0.3243       275.5412       -14.6523
  16.609-0.234      1        16.6091        -0.2381       275.4705       -14.5972
   16.63-0.063      1        16.6396        -0.0507       275.3145       -14.4822
   16.63-0.063      2        16.6432        -0.0477       275.3134       -14.4776
  16.637-0.287      1        16.6434        -0.2907       275.5351       -14.5917
    16.65-0.36      1        16.6556        -0.3534       275.5982       -14.6104
    16.65-0.36      2        16.6613        -0.3608       275.6077       -14.6088
  16.652-0.303      1        16.6509        -0.3053       275.5521       -14.5919
  16.656+0.106      1        16.6477         0.1048       275.1767       -14.4018
  16.656+0.106      2        16.6568         0.1062       275.1799       -14.3931
  16.661-0.343      1        16.6613        -0.3313       275.5808       -14.5949
  16.681-0.069      1        16.6839        -0.0708       275.3543       -14.4526
  16.794+0.119      1        16.7951         0.1214       275.2333       -14.2640
  16.794+0.119      2        16.7987         0.1266       275.2304       -14.2583
  16.794+0.119      3        16.8045         0.1196       275.2395       -14.2565
  16.852-0.319      1        16.8487        -0.3173       275.6590       -14.4229
  16.852-0.319      2        16.8719        -0.3380       275.6891       -14.4122
  16.883+0.136      1        16.8635         0.1245       275.2637       -14.2021
  16.883+0.136      2        16.8719         0.1272       275.2653       -14.1935
  16.883+0.136      3        16.8843         0.1281       275.2705       -14.1822
  16.905+0.343      1        16.8996         0.3142       275.1087       -14.0810
  16.905+0.343      2        16.9088         0.3128       275.1144       -14.0735
  16.905+0.343      3        16.8955         0.3446       275.0790       -14.0702
  16.905+0.343      4        16.9178         0.3067       275.1243       -14.0684
  16.905+0.343      5        16.9181         0.3165       275.1157       -14.0635
  16.905+0.343      6        16.9281         0.3153       275.1215       -14.0553
  16.905+0.343      7        16.9428         0.3405       275.1058       -14.0305
  16.915-0.084      1        16.8965        -0.0855       275.4709       -14.2719
  16.915-0.084      2        16.8985        -0.0676       275.4556       -14.2617
  16.915-0.084      3        16.9202        -0.0838       275.4809       -14.2501
  16.915-0.084      4        16.9354        -0.0774       275.4824       -14.2337
  16.915-0.084      5        16.9348        -0.0682       275.4737       -14.2300
  16.925+0.242      1        16.9280         0.2176       275.2103       -14.1014
  16.925+0.242      2        16.9308         0.2184       275.2109       -14.0986
  16.925+0.242      3        16.9325         0.2717       275.1633       -14.0720
  16.925+0.242      4        16.9266         0.2858       275.1476       -14.0705
  16.925+0.279      1        16.9266         0.2858       275.1477       -14.0705
