-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
-------------------------------------------------------------------------------------
  15.007+0.008      1        15.0074         0.0097       274.4603       -15.8923
  15.054+0.086      1        15.0109         0.0684       274.4083       -15.8614
  15.054+0.086      2        15.0261         0.0962       274.3903       -15.8347
  15.054+0.086      3        15.0454         0.0764       274.4180       -15.8271
  15.054+0.086      4        15.0543         0.0869       274.4128       -15.8143
  15.054+0.086      5        15.0870         0.0891       274.4269       -15.7845
   15.074+0.13      1        15.0766         0.1313       274.3832       -15.7736
  15.078-0.259      1        15.0810        -0.2605       274.7440       -15.9554
  15.221-0.427      1        15.2028        -0.4407       274.9691       -15.9332
  15.221-0.427      2        15.1936        -0.4229       274.9482       -15.9329
  15.221-0.427      3        15.2182        -0.4240       274.9613       -15.9117
  15.262-0.156      1        15.2582        -0.1555       274.7350       -15.7496
  15.264-0.203      1        15.2505        -0.1866       274.7597       -15.7710
  15.271-0.125      1        15.2717        -0.1212       274.7103       -15.7215
  15.282-0.091      1        15.2733        -0.1209       274.7107       -15.7200
  15.286+0.168      1        15.2655         0.2085       274.4057       -15.5708
  15.286+0.168      2        15.2863         0.1684       274.4525       -15.5714
  15.329-0.153      1        15.3274        -0.1530       274.7667       -15.6874
  15.536-0.405      1        15.5312        -0.4061       275.0983       -15.6273
   15.55-0.454      1        15.5433        -0.4454       275.1403       -15.6351
   15.55-0.454      2        15.5498        -0.4534       275.1508       -15.6332
   15.55-0.454      3        15.5589        -0.4625       275.1635       -15.6295
  15.631-0.377      1        15.6329        -0.3770       275.1214       -15.5239
  15.715-0.597      1        15.7175        -0.5945       275.3620       -15.5517
  15.715-0.597      2        15.7100        -0.5794       275.3445       -15.5512
  15.907-0.147      1        15.9080        -0.1449       275.0437       -15.1719
  16.305-0.072      1        16.3123        -0.0729       275.1754       -14.7814
  16.305-0.072      2        16.3045        -0.0469       275.1478       -14.7760
  16.305-0.072      3        16.3195        -0.0560       275.1635       -14.7670
  16.305-0.072      4        16.3352        -0.0771       275.1904       -14.7632
  16.335-0.213      1        16.3369        -0.2228       275.3242       -14.8302
  16.335-0.213      2        16.3559        -0.2102       275.3219       -14.8076
    16.36-0.25      1        16.3614        -0.2453       275.3566       -14.8193
  16.361-0.078      1        16.3594        -0.1058       275.2283       -14.7553
  16.379-0.044      1        16.3773        -0.0428       275.1796       -14.7098
  16.386-0.212      1        16.3559        -0.2102       275.3219       -14.8076
  16.386-0.212      2        16.3652        -0.2063       275.3228       -14.7976
  16.386-0.212      3        16.3714        -0.2109       275.3301       -14.7942
  16.386-0.212      4        16.3877        -0.2190       275.3454       -14.7836
  16.386-0.212      5        16.3960        -0.1946       275.3271       -14.7648
  16.386-0.212      6        16.4033        -0.1805       275.3179       -14.7518
   16.44-0.378      1        16.4442        -0.3839       275.5234       -14.8113
  16.447+0.447      1        16.4195         0.4451       274.7558       -14.4423
  16.452+0.415      1        16.4733         0.4035       274.8199       -14.4146
  16.475-0.184      1        16.4450        -0.1928       275.3494       -14.7207
  16.475-0.184      2        16.4773        -0.1813       275.3546       -14.6869
  16.584-0.082      1        16.5796        -0.0806       275.3125       -14.5492
  16.609-0.234      1        16.6096        -0.2367       275.4694       -14.5961
    16.65-0.36      1        16.6399        -0.3639       275.6002       -14.6292
  16.661-0.343      1        16.6662        -0.3397       275.5909       -14.5946
  16.661-0.343      2        16.6622        -0.3314       275.5814       -14.5942
  16.661-0.343      3        16.6812        -0.3425       275.6007       -14.5827
  16.852-0.319      1        16.8494        -0.3169       275.6589       -14.4221
  16.883+0.136      1        16.8698         0.1288       275.2629       -14.1946
  16.905+0.343      1        16.9139         0.3236       275.1071       -14.0639
  16.905+0.343      2        16.9061         0.3395       275.0889       -14.0632
  16.905+0.343      3        16.9077         0.3501       275.0800       -14.0568
  16.925+0.242      1        16.9162         0.1994       275.2212       -14.1204
  16.925+0.242      2        16.9108         0.2207       275.1992       -14.1151
  16.925+0.242      3        16.9305         0.2179       275.2113       -14.0991
  16.925+0.242      4        16.9250         0.2439       275.1850       -14.0916
  16.925+0.242      5        16.9257         0.2653       275.1659       -14.0810
