-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    map        source        mass        luminosity      radius      temperature      err_temp         chisq          distance             glon            glat              ra               dec     
18.906-0.152       1        129.302        93.3456       0.458677        15.8922        1.49954       0.0876325         4.31000          18.9250     -0.175700       276.529      -12.5217
18.927-0.524       1        970.530        719.560       0.467611        15.9472        1.49834        0.192882         4.29000          18.8859     -0.508300       276.812      -12.7113
18.927-0.524       2        899.852        771.134       0.668602        16.4482        1.58558        0.402814         4.29000          18.9002     -0.511000       276.821      -12.6998
18.947+0.859       1        19.9027        7.63084       0.563089        13.6841        1.07628        0.241527         3.22000          18.9317      0.845900       275.608      -12.0378
18.947+0.859       2        27.7645        7.21737       0.563089        12.4786       0.868699        0.773341         3.22000          18.9307      0.850100       275.604      -12.0366
18.965+0.6       1        7.83267        5.46992       0.236211        15.2515        1.30341         2.06351         1.91000          18.9597      0.587400       275.855      -12.1342
19.02-0.486       1        112.759        104.058       0.466866        17.0564        1.82881        0.138779         3.56000          19.0476     -0.454200       276.840      -12.5429
19.073-0.602       2        1184.98        747.042       0.707032        15.2465        1.34164        0.484820         4.44000          19.0496     -0.602200       276.975      -12.6101
19.073-0.602       3        7.28332        63.4211       0.476388        30.6630        6.07314         6.74596         4.44000          19.0619     -0.631000       277.007      -12.6125
19.073-0.602       6        221.470        156.325       0.776433        15.8383        1.49817       0.0361435         4.44000          19.0761     -0.588100       276.975      -12.5800
19.082-0.291       5        202.543        311.514       0.645091        19.4467        2.39366       0.0135453         4.33000          19.0731     -0.264500       276.680      -12.4320
19.082-0.291       7        617.180        224.091       0.728852        13.4545        1.02680        0.497076         4.33000          19.1128     -0.262300       276.697      -12.3959
19.104-0.367       1        19.5923        28.4710       0.398219        19.2891        2.55171         1.28244         3.22000          19.0987     -0.387700       276.804      -12.4668
19.117+0.074       1        36.3062        130.440       0.457686        23.8121        3.46090         2.77368         3.49000          19.0817     0.0681000       276.383      -12.2694
19.313-0.676       1        541.541        216.794       0.683318        13.4936        1.00714         1.73016         4.23000          19.3079     -0.669900       277.160      -12.4128
19.615-0.267       1        296.235        272.558       0.529165        16.6832        1.62435        0.593323         3.28000          19.6083     -0.274500       276.944      -11.9631
19.615-0.267       3        194.514        218.660       0.505450        17.7164        1.88699        0.166856         3.28000          19.6284     -0.264200       276.945      -11.9404
19.653-0.118       2        651.985        2762.86        1.06497        25.8730        4.26432         1.00304         6.09000          19.6804     -0.130000       276.848      -11.8320
19.71-0.146       1        93.3016        286.253       0.701238        23.7311        3.65523       0.0408582         4.01000          19.6302     -0.159200       276.850      -11.8900
19.738-0.651       1        197.368        26.1885       0.298601        11.1353       0.726456       0.0168494         2.12000          19.7326     -0.648500       277.342      -12.0267
19.904-0.581       1        121.347        34.0666       0.514256        12.9506       0.999760       0.0329963         3.32000          19.9042     -0.586000       277.367      -11.8457
19.939-0.808       2        56.3046        35.5732       0.526334        15.5275        1.47736       0.0559280         3.23000          19.9136     -0.815100       277.579      -11.9435
20.717-0.01       1        158.939        115.841       0.521273        15.9262        1.50572       0.0927085         4.05000          20.7208    -0.0191000       277.241      -10.8593
20.751-0.111       1        116.866        168.315       0.589851        18.7463        2.09467        0.624615         3.88000          20.7842    -0.0970000       277.341      -10.8393
20.779-0.039       1        722.356        321.659       0.687361        14.4004        1.31208        0.603302         4.00000          20.7663    -0.0408000       277.282      -10.8290
20.779-0.039       2        548.965        303.852       0.592846        15.0090        1.35309     0.000587764         4.00000          20.7606    -0.0259000       277.266      -10.8272
21.412-0.531       1        240.836        15.7504       0.486829        9.62831       0.509095        0.652827         3.71000          21.3663     -0.611100       278.079      -10.5613
21.412-0.531       2        1208.39        270.049       0.546992        11.7338       0.740851         3.17563         3.71000          21.4086     -0.544500       278.039      -10.4930
21.412-0.531       4        2558.04        1986.86       0.648776        15.5305        1.34860         2.60672         3.71000          21.4275     -0.540600       278.044      -10.4744
21.851-0.24       1        758.057        101.070       0.716824        11.1234       0.717557     0.000241771         4.65000          21.8478     -0.240300       277.971      -9.96300
21.918-0.002       1        250.552        118.887       0.792169        14.2508        1.15663        0.595031         5.55000          21.9067     0.0139000       277.770      -9.79310
22.011-0.538       1        332.516        43.3620       0.564969        10.6580       0.609384         2.54358         3.62000          22.0123     -0.537500       278.316      -9.95430
22.253+0.03       1        3230.91        180.018       0.881356        9.42792       0.496464        0.215551         5.04000          22.2518     0.0310000       277.917      -9.47930
22.31-0.628       1        309.787        18.1439       0.455063        9.12596       0.439278         3.97414         3.47000          22.2509     -0.633000       278.513      -9.78660
22.429+0.269       4        517.957        334.577       0.888052        15.7154        1.64354         1.44120         6.06000          22.4359      0.323800       277.740      -9.18060
22.429+0.269       6        1491.69        270.525       0.749443        11.5275       0.728442         1.25572         6.06000          22.4737      0.349500       277.734      -9.13520
22.454+0.504       1        379.040        70.2716       0.483552        11.3759       0.696846         2.68628         3.91000          22.4555      0.506400       277.585      -9.07870
22.53-0.192       1        2338.05        355.096       0.802392        11.1931       0.690258        0.888133         5.77000          22.5319     -0.191900       278.248      -9.33380
22.693-0.456       1        1903.19        175.832       0.565174        10.0959       0.549275         1.77698         4.57000          22.6930     -0.450900       278.556      -9.31040
22.756-0.284       1        1168.51        190.548       0.547860        11.1616       0.672717         2.19676         4.43000          22.7256     -0.319500       278.453      -9.22080
22.866-0.41       2        322.662        99.4444       0.600655        12.6141       0.865584         2.61669         3.85000          22.8763     -0.431200       278.624      -9.13860
22.866-0.41       3        646.180        120.944       0.336723        11.8434       0.806239       0.0533487         3.85000          22.9293     -0.340900       278.568      -9.04990
23.076-0.209       1        441.349        104.865       0.641170        12.4261       0.890872       0.0588583         3.72000          23.0768     -0.206500       278.516      -8.85710
23.078+0.569       1        570.131        369.615       0.861871        15.1394        1.29520         1.33634         5.03000          23.0235      0.583600       277.782      -8.53950
23.078+0.569       6        33.1349        255.911       0.703156        33.2049        8.60147         1.11193         5.03000          23.0804      0.605700       277.789      -8.47890
23.078+0.569       7        198.197        569.818       0.706048        22.6436        3.13630         1.40025         5.03000          23.1049      0.576800       277.826      -8.47050
23.078+0.569       9        45.0874        112.125       0.622063        21.3375        2.71500         2.37293         5.03000          23.0992      0.604600       277.798      -8.46260
23.091-0.334       1        23.0383        128.933       0.772936        27.0452        4.57866         4.36705         4.42000          23.0714     -0.327100       278.621      -8.91740
23.126+0.624       4        93.0514        40.8866       0.368766        13.8825        1.07915         1.16660         2.75000          23.1189      0.611300       277.802      -8.44220
23.238-0.483       1        747.517        130.217       0.654022        11.2928       0.688675         2.28371         3.74000          23.2415     -0.481500       278.840      -8.83750
23.271-0.263       7        2053.59        267.313       0.559900        10.9500       0.669385        0.399981         5.21000          23.2998     -0.250700       278.659      -8.67950
23.369-0.522       1        1258.23        134.834       0.743932        10.4049       0.586810         1.48857         4.60000          23.3656     -0.522500       278.934      -8.74630
23.397-0.253       5        699.466        2697.47       0.957208        24.4779        3.69038         2.50042         5.53000          23.4140     -0.219100       278.684      -8.56360
23.403+0.454       1        4124.13        1809.96       0.859207        14.2554        1.21937       0.0127950         5.68000          23.3887      0.455200       278.068      -8.27500
23.423-0.103       1        393.011        383.039       0.811386        16.9557        1.68764        0.502376         5.40000          23.3210     -0.211700       278.634      -8.64270
23.423-0.103       3        1125.38        426.654       0.907600        13.7900        1.13203      0.00357824         5.40000          23.3516     -0.132300       278.577      -8.57900
23.423-0.103       6        1379.88        1134.58       0.776829        15.8408        1.41289         2.17647         5.40000          23.4259     -0.154100       278.631      -8.52310
23.449-0.267       2        1002.50        887.099       0.947808        15.8959        1.41206         3.24075         5.42000          23.4473     -0.261900       278.738      -8.55380
23.463-0.23       1        889.811        1433.51       0.678951        18.3761        1.93058         4.03042         5.49000          23.4421     -0.203100       278.683      -8.53130
23.588-0.009       4        803.232        308.014       0.550596        13.0689       0.927530         3.49018         3.58000          23.6028    -0.0252000       278.598      -8.30670
23.588-0.009       7        254.413        151.723       0.496685        14.8913        1.25460         1.12827         3.58000          23.6319     0.0353000       278.557      -8.25300
23.744-0.156       1        538.382        200.341       0.562376        13.5219        1.03703        0.516483         4.07000          23.7422     -0.158700       278.783      -8.24450
23.82-0.653       1        287.086        53.6339       0.630094        11.9929       0.907149        0.929195         3.81000          23.8200     -0.653000       279.263      -8.40270
23.856-0.169       1        372.084        39.0756       0.560983        10.7311       0.736030         1.42200         3.73000          23.8611     -0.160700       278.840      -8.13990
23.943+0.159       3        1158.85        6624.86       0.709262        28.7376        5.40227         1.07362         4.61000          23.9528      0.152700       278.602      -7.91410
24.013+0.488       1        4667.79        319.756       0.810263        9.69104       0.514201        0.773000         5.18000          24.0118      0.489400       278.327      -7.70660
24.315+0.083       1        1107.59        755.168       0.814332        15.2873        1.31943         1.49032         5.90000          24.3487     0.0610000       278.868      -7.60490
24.381-0.21       2        293.964        124.216       0.556005        13.9437        1.11329        0.367550         3.61000          24.4247     -0.250800       279.182      -7.68080
24.391+0.548       1        2001.72        176.947       0.945141        10.3899       0.679459         1.10424         5.41000          24.3923      0.547200       278.453      -7.34230
24.392+0.448       2        1176.93        235.641       0.941643        11.7635       0.760643         1.20038         5.80000          24.4062      0.499600       278.502      -7.35190
24.426-0.28       1        27.0782        173.477       0.866940        29.5053        5.65626         2.06183         5.23000          24.4349     -0.299800       279.231      -7.69430
24.426-0.28       2        15.2607        146.212       0.685873        35.5493        11.8998         7.79489         5.23000          24.4531     -0.288700       279.229      -7.67300
24.467+0.311       1        273.991        345.355        1.01426        17.0267        1.62994         4.75961         5.80000          24.4783      0.289200       278.724      -7.38480
24.478+0.46       5        653.856        1149.48       0.967044        20.2989        3.03389         3.09099         5.53000          24.4556      0.516000       278.510      -7.30050
24.478+0.46       7        2511.67        2212.00       0.967044        16.6869        1.66683       0.0875446         5.53000          24.4845      0.467500       278.567      -7.29720
