-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
-------------------------------------------------------------------------------------
  15.007+0.008      1        15.0069         0.0102       274.4596       -15.8924
  15.054+0.086      1        15.0107         0.0680       274.4086       -15.8617
  15.054+0.086      2        15.0244         0.0817       274.4028       -15.8431
  15.054+0.086      3        15.0252         0.0953       274.3907       -15.8359
  15.054+0.086      4        15.0444         0.0768       274.4172       -15.8278
  15.054+0.086      5        15.0536         0.0838       274.4152       -15.8164
   15.074+0.13      1        15.0769         0.1308       274.3838       -15.7736
  15.078-0.259      1        15.0800        -0.2699       274.7522       -15.9607
  15.078-0.259      2        15.0802        -0.2596       274.7428       -15.9557
   15.155-0.48      1        15.1544        -0.4814       274.9826       -15.9950
  15.186-0.132      1        15.1873        -0.1344       274.6808       -15.8021
  15.221-0.427      1        15.1997        -0.4484       274.9746       -15.9395
  15.221-0.427      2        15.2013        -0.4408       274.9684       -15.9345
  15.221-0.427      3        15.1937        -0.4227       274.9481       -15.9327
  15.221-0.427      4        15.2087        -0.4271       274.9595       -15.9215
  15.221-0.427      5        15.2121        -0.4130       274.9482       -15.9119
  15.221-0.427      6        15.2195        -0.4253       274.9631       -15.9112
   15.23-0.474      1        15.2180        -0.4809       275.0134       -15.9388
   15.23-0.474      2        15.2344        -0.4712       275.0125       -15.9197
  15.262-0.156      1        15.2576        -0.1558       274.7349       -15.7503
  15.262-0.156      2        15.2683        -0.1515       274.7363       -15.7388
  15.264-0.203      1        15.2473        -0.2103       274.7798       -15.7851
  15.264-0.203      2        15.2710        -0.1830       274.7665       -15.7513
  15.264-0.203      3        15.2803        -0.1912       274.7786       -15.7470
  15.271-0.125      1        15.2708        -0.1207       274.7093       -15.7220
  15.271-0.125      2        15.2782        -0.1121       274.7051       -15.7114
  15.282-0.091      1        15.2729        -0.1186       274.7084       -15.7191
  15.286+0.168      1        15.2629         0.2098       274.4032       -15.5724
  15.536-0.405      1        15.5426        -0.4449       275.1395       -15.6355
  15.536-0.405      2        15.5301        -0.4063       275.0980       -15.6283
   15.55-0.454      1        15.5421        -0.4448       275.1392       -15.6359
   15.55-0.454      2        15.5497        -0.4548       275.1519       -15.6339
   15.55-0.454      3        15.5462        -0.4480       275.1440       -15.6338
   15.55-0.454      4        15.5588        -0.4627       275.1637       -15.6296
   15.613-0.24      1        15.6093        -0.2521       274.9957       -15.4858
  15.631-0.377      1        15.6327        -0.3771       275.1214       -15.5241
