-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
-------------------------------------------------------------------------------------
       0-0.434      1       359.9952        -0.4273       266.8198       -29.1622
       0-0.434      2         0.0008        -0.4350       266.8306       -29.1614
   0.001+0.969      1         0.0039         0.9657       265.4700       -28.4264
   0.001-0.201      1       359.9940        -0.2206       266.6168       -29.0561
   0.001-0.201      2       359.9897        -0.2107       266.6046       -29.0546
   0.001-0.201      3         0.0149        -0.2363       266.6446       -29.0464
    0.004-0.03      1         0.0007        -0.0309       266.4355       -28.9516
    0.02-0.129      1       359.9879        -0.1307       266.5254       -29.0146
    0.02-0.129      2         0.0611        -0.2212       266.6573       -28.9990
    0.02-0.129      3         0.0554        -0.2116       266.6445       -28.9989
    0.02-0.129      4         0.0527        -0.2062       266.6376       -28.9984
    0.02-0.129      5         0.0084        -0.1275       266.5345       -28.9954
    0.02-0.129      6         0.0106        -0.1063       266.5150       -28.9825
    0.02-0.129      7         0.0663        -0.1439       266.5849       -28.9544
    0.02-0.129      8         0.0757        -0.1476       266.5940       -28.9483
    0.02-0.129      9         0.0980        -0.1657       266.6249       -28.9387
    0.02-0.129     10         0.0531        -0.0862       266.5207       -28.9357
    0.02-0.129     11         0.0915        -0.1320       266.5882       -28.9267
    0.02-0.129     12         0.0655        -0.0856       266.5275       -28.9248
    0.02-0.129     13         0.0847        -0.1071       266.5599       -28.9196
    0.02-0.129     14         0.0620        -0.0707       266.5108       -28.9201
    0.02-0.129     15         0.0781        -0.0932       266.5423       -28.9180
    0.02-0.129     16         0.0731        -0.0727       266.5194       -28.9116
    0.02-0.129     17         0.0965        -0.1089       266.5686       -28.9105
    0.02-0.129     18         0.0894        -0.0840       266.5401       -28.9036
    0.02-0.129     19         0.0826        -0.0720       266.5244       -28.9031
    0.02-0.129     20         0.0951        -0.0901       266.5495       -28.9019
    0.02-0.129     21         0.0988        -0.0848       266.5464       -28.8960
    0.02-0.129     22         0.1192        -0.1113       266.5844       -28.8923
    0.02-0.129     23         0.0988        -0.0804       266.5421       -28.8937
    0.02-0.129     24         0.1382        -0.1395       266.6232       -28.8907
    0.02-0.129     25         0.1318        -0.1294       266.6096       -28.8909
   0.023-0.016      1         0.0178        -0.0318       266.4466       -28.9376
   0.023-0.016      2         0.0145        -0.0217       266.4348       -28.9351
   0.023-0.016      3         0.0428        -0.0189       266.4489       -28.9095
   0.029+0.006      1         0.0449         0.0168       266.4153       -28.8891
   0.029+0.006      2         0.0563         0.0229       266.4161       -28.8762
   0.031+0.156      1         0.0209         0.1587       266.2628       -28.8356
   0.034+1.099      1         0.0383         1.0758       265.3844       -28.3391
   0.034-0.255      1         0.0157        -0.2385       266.6472       -29.0469
   0.035+0.000      1         0.0056        -0.0439       266.4512       -28.9542
   0.035+0.000      2       359.9920        -0.0202       266.4199       -28.9536
   0.035+0.000      3         0.0130        -0.0523       266.4637       -28.9523
   0.035+0.000      4         0.0010        -0.0317       266.4365       -28.9519
