-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
   0.084-0.641      4         0.1130        -0.6778       267.1351       -29.1910
   0.084-0.641      5         0.0867        -0.6257       267.0685       -29.1866
   0.091+0.318      1         0.0951         0.3176       266.1525       -28.6893
   0.091+0.318      2         0.0922         0.3452       266.1239       -28.6773
   0.091+0.318      3         0.1055         0.3356       266.1411       -28.6710
   0.095-0.426      1         0.1072        -0.4154       266.8745       -29.0603
   0.108-0.522      1         0.1178        -0.5121       266.9755       -29.1012
   0.108-0.522      2         0.1217        -0.5187       266.9843       -29.1013
   0.108-0.522      3         0.1228        -0.5000       266.9666       -29.0907
   0.113-0.681      1         0.1124        -0.6779       267.1349       -29.1915
   0.122-0.225      1         0.0472        -0.2209       266.6486       -29.0108
   0.122-0.225      2         0.0612        -0.2210       266.6572       -28.9988
   0.122-0.225      3         0.0550        -0.2107       266.6434       -28.9988
   0.122-0.225      4         0.0973        -0.1659       266.6247       -28.9394
   0.122-0.225      5         0.1035        -0.1416       266.6047       -28.9214
   0.122-0.225      6         0.1167        -0.1422       266.6131       -28.9105
   0.122-0.225      7         0.1273        -0.1584       266.6352       -28.9098
   0.122-0.225      8         0.1388        -0.1386       266.6227       -28.8898
   0.122-0.225      9         0.1318        -0.1290       266.6092       -28.8908
   0.122-0.225     10         0.1508        -0.1085       266.6005       -28.8638
   0.133-0.495      1         0.1370        -0.4894       266.9646       -29.0730
   0.134-0.401      1         0.0990        -0.4116       266.8660       -29.0653
   0.134-0.401      2         0.1072        -0.4154       266.8745       -29.0603
   0.134-0.401      3         0.1177        -0.4096       266.8750       -29.0483
   0.134-0.401      4         0.1270        -0.4060       266.8771       -29.0385
    0.14+0.018      1         0.1411         0.0043       266.4847       -28.8135
    0.14+0.018      2         0.1322         0.0223       266.4619       -28.8117
    0.14+0.018      3         0.1298         0.0329       266.4502       -28.8082
    0.14+0.018      4         0.1398         0.0193       266.4693       -28.8068
    0.14+0.018      5         0.1627         0.0647       266.4387       -28.7636
    0.14+0.018      6         0.2069        -0.0005       266.5285       -28.7598
    0.14+0.018      7         0.1633         0.0790       266.4251       -28.7556
    0.14+0.018      8         0.2063         0.0389       266.4897       -28.7398
    0.14+0.018      9         0.2039         0.0522       266.4753       -28.7349
    0.14+0.018     10         0.1868         0.0807       266.4374       -28.7347
    0.14+0.018     11         0.2012         0.0667       266.4596       -28.7297
    0.144-0.27      1         0.1453        -0.2754       266.7602       -28.9551
   0.144-0.572      1         0.1545        -0.5772       267.0609       -29.1035
   0.152+0.957      1         0.1465         0.9575       265.5634       -28.3097
   0.152-0.453      1         0.1167        -0.4683       266.9319       -29.0796
   0.152-0.453      2         0.1664        -0.4461       266.9396       -29.0255
    0.16+0.098      1         0.0365         0.0220       266.4053       -28.8936
    0.16+0.098      2         0.0757        -0.0297       266.4790       -28.8871
    0.16+0.098      3         0.0487         0.0290       266.4058       -28.8795
    0.16+0.098      4         0.0562         0.0228       266.4162       -28.8764
    0.16+0.098      5         0.0758        -0.0021       266.4521       -28.8725
    0.16+0.098      6         0.0830        -0.0105       266.4646       -28.8708
    0.16+0.098      7         0.0966        -0.0254       266.4872       -28.8669
    0.16+0.098      8         0.0948        -0.0201       266.4810       -28.8657
    0.16+0.098      9         0.0972        -0.0060       266.4687       -28.8563
    0.16+0.098     10         0.0693         0.0482       266.3993       -28.8520
    0.16+0.098     11         0.1166        -0.0196       266.4935       -28.8468
    0.16+0.098     12         0.1108         0.0017       266.4693       -28.8407
    0.16+0.098     13         0.1297        -0.0129       266.4947       -28.8321
    0.16+0.098     14         0.1295         0.0025       266.4795       -28.8243
    0.16+0.098     15         0.1223         0.0121       266.4659       -28.8255
    0.16+0.098     16         0.1411         0.0043       266.4847       -28.8135
    0.16+0.098     17         0.1322         0.0223       266.4619       -28.8117
    0.16+0.098     18         0.1298         0.0329       266.4502       -28.8082
    0.16+0.098     19         0.1398         0.0193       266.4693       -28.8068
    0.16+0.098     20         0.1354         0.0308       266.4555       -28.8046
    0.16+0.098     21         0.1468         0.0264       266.4666       -28.7971
    0.16+0.098     22         0.1695         0.0214       266.4849       -28.7803
    0.16+0.098     23         0.1764         0.0144       266.4959       -28.7781
    0.16+0.098     24         0.1912         0.0170       266.5021       -28.7641
    0.16+0.098     25         0.1627         0.0647       266.4387       -28.7636
    0.16+0.098     26         0.1633         0.0790       266.4251       -28.7556
    0.16+0.098     27         0.2063         0.0389       266.4897       -28.7398
    0.16+0.098     28         0.2039         0.0522       266.4753       -28.7349
    0.16+0.098     29         0.1868         0.0807       266.4374       -28.7347
    0.16+0.098     30         0.2012         0.0667       266.4596       -28.7297
    0.16+0.098     31         0.1963         0.0938       266.4303       -28.7197
   0.163-0.057      1         0.0506        -0.0804       266.5135       -28.9349
   0.163-0.057      2         0.0354        -0.0532       266.4780       -28.9337
   0.163-0.057      3         0.0617        -0.0801       266.5199       -28.9252
   0.163-0.057      4         0.0202        -0.0075       266.4243       -28.9229
   0.163-0.057      5         0.0777        -0.0937       266.5427       -28.9186
   0.163-0.057      6         0.0621        -0.0703       266.5105       -28.9198
   0.163-0.057      7         0.0215         0.0013       266.4165       -28.9171
   0.163-0.057      8         0.0737        -0.0731       266.5201       -28.9113
   0.163-0.057      9         0.0808        -0.0723       266.5236       -28.9048
   0.163-0.057     10         0.0353         0.0054       266.4208       -28.9033
   0.163-0.057     11         0.0991        -0.0816       266.5435       -28.8941
   0.163-0.057     12         0.0318         0.0202       266.4042       -28.8985
   0.163-0.057     13         0.1192        -0.1114       266.5845       -28.8924
   0.163-0.057     14         0.1318        -0.1290       266.6092       -28.8908
   0.163-0.057     15         0.1072        -0.0828       266.5495       -28.8878
   0.163-0.057     16         0.0757        -0.0297       266.4790       -28.8871
   0.163-0.057     17         0.0487         0.0290       266.4058       -28.8795
   0.163-0.057     18         0.1076        -0.0612       266.5287       -28.8762
   0.163-0.057     19         0.0562         0.0228       266.4162       -28.8764
   0.163-0.057     20         0.0758        -0.0021       266.4521       -28.8725
   0.163-0.057     21         0.0830        -0.0105       266.4646       -28.8708
   0.163-0.057     22         0.1398        -0.0856       266.5716       -28.8613
   0.163-0.057     23         0.0972        -0.0060       266.4687       -28.8563
   0.163-0.057     24         0.0693         0.0482       266.3993       -28.8520
   0.163-0.057     25         0.1560        -0.0819       266.5776       -28.8456
   0.163-0.057     26         0.1166        -0.0196       266.4935       -28.8468
   0.163-0.057     27         0.1108         0.0017       266.4693       -28.8407
   0.163-0.057     28         0.1428        -0.0495       266.5381       -28.8400
   0.163-0.057     29         0.1223         0.0121       266.4659       -28.8255
   0.163-0.057     30         0.1411         0.0043       266.4847       -28.8135
   0.163-0.057     31         0.1322         0.0223       266.4619       -28.8117
   0.163-0.057     32         0.1298         0.0329       266.4502       -28.8082
   0.163-0.057     33         0.1398         0.0193       266.4693       -28.8068
   0.163-0.057     34         0.2041        -0.0423       266.5675       -28.7839
   0.163-0.057     35         0.2165        -0.0507       266.5830       -28.7777
   0.163-0.057     36         0.2120        -0.0270       266.5573       -28.7692
   0.163-0.057     37         0.1627         0.0647       266.4387       -28.7636
   0.163-0.057     38         0.2306        -0.0410       266.5820       -28.7606
   0.163-0.057     39         0.2066        -0.0010       266.5287       -28.7603
   0.163-0.057     40         0.2168        -0.0143       266.5477       -28.7585
   0.163-0.057     41         0.1633         0.0790       266.4251       -28.7556
   0.163-0.057     42         0.2314        -0.0081       266.5504       -28.7428
   0.163-0.057     43         0.2063         0.0389       266.4897       -28.7398
   0.163-0.057     44         0.2039         0.0522       266.4753       -28.7349
   0.163-0.057     45         0.1868         0.0807       266.4374       -28.7347
   0.163-0.057     46         0.2355         0.0091       266.5361       -28.7304
   0.163-0.057     47         0.2590        -0.0287       266.5869       -28.7300
   0.163-0.057     48         0.2012         0.0667       266.4596       -28.7297
   0.163-0.057     49         0.2441         0.0052       266.5450       -28.7250
   0.163-0.057     50         0.2721        -0.0299       266.5958       -28.7194
   0.163-0.057     51         0.2475         0.0107       266.5416       -28.7193
   0.163-0.432      1         0.1229        -0.4999       266.9666       -29.0906
   0.163-0.432      2         0.1167        -0.4683       266.9319       -29.0796
   0.163-0.432      3         0.1370        -0.4894       266.9646       -29.0730
   0.163-0.432      4         0.1530        -0.4546       266.9400       -29.0414
   0.163-0.432      5         0.1664        -0.4461       266.9396       -29.0255
   0.164-0.219      1         0.1751        -0.2313       266.7348       -28.9069
   0.166-0.447      1         0.1669        -0.4723       266.9655       -29.0386
   0.168+0.083      1         0.1627         0.0647       266.4387       -28.7636
   0.168+0.083      2         0.1699         0.0588       266.4487       -28.7605
   0.168+0.083      3         0.1633         0.0790       266.4251       -28.7556
   0.171-0.331      1         0.1893        -0.3168       266.8267       -28.9390
   0.171-0.331      2         0.1979        -0.3267       266.8415       -28.9367
   0.171-0.331      3         0.2086        -0.3318       266.8528       -28.9303
   0.171-0.331      4         0.2323        -0.3274       266.8625       -28.9077
   0.172+0.211      1         0.1788         0.2335       266.2840       -28.6618
   0.172+0.211      2         0.1866         0.2281       266.2939       -28.6580
   0.172+0.211      3         0.1951         0.2258       266.3011       -28.6520
   0.173+0.338      1         0.1762         0.3203       266.1981       -28.6187
  0.173+1_70mu      1         0.1728         1.0098       265.5287       -28.2598
   0.181-0.285      1         0.1893        -0.3168       266.8267       -28.9390
   0.181-0.285      2         0.1979        -0.3267       266.8415       -28.9367
   0.181-0.285      3         0.1764        -0.2569       266.7605       -28.9190
   0.181-0.285      4         0.2094        -0.2542       266.7774       -28.8894
   0.181-0.285      5         0.2031        -0.2401       266.7599       -28.8874
   0.181-0.285      6         0.2154        -0.2485       266.7754       -28.8813
   0.183-0.416      1         0.1671        -0.4458       266.9397       -29.0248
   0.183-0.416      2         0.2438        -0.4564       266.9955       -28.9646
   0.183-0.416      3         0.2450        -0.4428       266.9828       -28.9566
   0.184-0.066      1         0.1958        -0.0616       266.5814       -28.8010
   0.186-0.178      1         0.1903        -0.1679       266.6818       -28.8609
   0.188+0.052      1         0.2063         0.0389       266.4897       -28.7398
   0.188+0.052      2         0.2039         0.0522       266.4753       -28.7349
   0.188+0.052      3         0.1868         0.0807       266.4374       -28.7347
   0.188+0.052      4         0.2012         0.0667       266.4596       -28.7297
   0.188+0.052      5         0.1966         0.0940       266.4303       -28.7194
   0.188+0.052      6         0.2337         0.0470       266.4980       -28.7122
   0.188+0.052      7         0.2231         0.0715       266.4680       -28.7084
    0.19-0.566      1         0.1967        -0.5468       267.0561       -29.0517
