-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    map        source        mass        luminosity      radius      temperature      err_temp         chisq          distance             glon            glat              ra               dec     
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
15.054+0.086       1        25.2850        142.213       0.407275        19.0322        2.33345        0.176579         2.93000          15.0118     0.0670000       274.410      -15.8612
15.262-0.156       1        149.131        148.248       0.442810        14.5039        1.18180         1.31392         3.06000          15.2571     -0.156000       274.735      -15.7508
15.271-0.125       1        671.135        13.7887       0.412173        8.81409       0.435622        0.123205         2.99000          15.2702     -0.120000       274.708      -15.7222
15.536-0.405       1        2115.43        92.6412       0.579001        9.72481       0.522344        0.491172         3.47000          15.5294     -0.406500       275.098      -15.6291
15.55-0.454       1        397.731        430.191       0.551976        15.0779        1.26106         3.09059         3.53000          15.5502     -0.455200       275.153      -15.6337
15.55-0.454       2        706.694        1423.64       0.543101        16.4349        1.53480         1.90046         3.53000          15.5581     -0.463600       275.164      -15.6306
16.305-0.072       1        102.651        462.038       0.491783        18.5894        2.08064        0.305760         3.75000          16.3351    -0.0750000       275.188      -14.7622
16.335-0.213       1        117.694        392.510       0.480731        17.3800        1.78165        0.494036         3.85000          16.3372     -0.223800       275.325      -14.8304
16.379-0.044       1        482.377        141.277       0.593123        11.5914       0.757912        0.271828         3.53000          16.3782    -0.0423000       275.180      -14.7088
16.386-0.212       1        2098.28        9811.99       0.671510        17.8864        1.94569       0.0586444         3.84000          16.3624     -0.206400       275.322      -14.8001
16.386-0.212       2        906.915        3698.44       0.671510        18.2810        1.94751         1.47674         3.84000          16.3693     -0.210900       275.329      -14.7961
16.386-0.212       3        298.129        1775.53       0.503586        19.8243        2.32475         1.60629         3.84000          16.4029     -0.181200       275.318      -14.7524
16.447+0.447       1        40.2794        249.878       0.514640        19.8597        2.36145        0.924553         3.22000          16.4179      0.444700       274.755      -14.4439
16.475-0.184       1        241.366        1222.39       0.480899        18.9441        2.08485         2.37753         2.75000          16.4442     -0.193800       275.350      -14.7219
16.584-0.082       1        1154.42        218.353       0.506194        11.3607       0.744469       0.0146816         3.44000          16.5781    -0.0813000       275.312      -14.5508
16.609-0.234       1        514.993        827.910       0.437794        15.6019        1.39972        0.720965         3.54000          16.6091     -0.238100       275.470      -14.5972
16.661-0.343       1        69.5512        450.018       0.455108        19.5986        2.37224       0.0858841         3.68000          16.6613     -0.331300       275.581      -14.5949
16.883+0.136       1        7.30948        69.7230       0.261082        22.1308        2.93464         2.86077         2.37000          16.8719      0.127200       275.265      -14.1935
16.925+0.242       1        293.756        182.973       0.394648        13.1102        1.01276     1.22791e-05         2.34000          16.9280      0.217600       275.210      -14.1014
16.925+0.242       2        147.442        238.323       0.361688        14.8032        1.39635        0.665316         2.34000          16.9266      0.285800       275.148      -14.0705
16.941+0.458       1        3.15871        17.6978       0.221119        19.4864        2.29704        0.423629         2.35000          16.9433      0.420200       275.034      -13.9924
