-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    map        source        mass        luminosity      radius      temperature      err_temp         chisq          distance             glon            glat              ra               dec     
16.965-0.095       1        92.5277        5316.54       0.418006        34.2444        8.01347         1.32993         3.38000          16.9444    -0.0735000       275.483      -14.2239
17.082+0.442       1        198.469        110.321       0.383090        13.4270        1.01426        0.760690         2.31000          17.0314      0.427200       275.070      -13.9114
17.082+0.442       2        81.9722        41.4811       0.285679        13.0663       0.953853        0.917172         2.31000          17.0961      0.411100       275.116      -13.8619
17.082+0.442       3        152.348        14.1375       0.318335        10.7045       0.632867        0.667496         2.31000          17.1069      0.469200       275.069      -13.8250
17.082+0.442       4        84.5366        128.210       0.298259        15.2382        1.35879        0.188010         2.31000          17.0946      0.524300       275.013      -13.8099
17.211+0.782       1        842.863        191.070       0.389965        11.8777       0.781645        0.860874         2.23000          17.1704      0.813000       274.788      -13.6067
17.211+0.782       2        635.341        688.625       0.328207        14.5042        1.22662        0.138325         2.23000          17.2175      0.820200       274.804      -13.5619
17.252+0.375       1        10.0244        15.7466       0.234974        15.4316        1.33385         2.28612         1.90000          17.2236      0.395400       275.192      -13.7569
17.626+0.157       1        1752.29        37322.6       0.587571        25.0935        4.01500        0.636666         3.36000          17.6381      0.155900       275.610      -13.5039
17.644+0.074       1        137.717        244.376       0.517622        15.5886        1.45821      0.00578996         2.96000          17.6296     0.0517000       275.701      -13.5603
17.991-0.348       1        449.011        147.316       0.529996        12.5039       0.868405        0.968230         3.34000          17.9910     -0.347200       276.237      -13.4276
18.145-0.416       1        121.815        218.585       0.645279        16.0165        1.48385        0.659985         3.69000          18.1073     -0.384200       276.327      -13.3422
18.145-0.416       2        358.329        283.862       0.599850        13.9685        1.08271         1.82625         3.69000          18.1422     -0.376100       276.336      -13.3076
18.145-0.416       3        321.662        728.320       0.574851        16.3745        1.60138       0.0780986         3.69000          18.1569     -0.401700       276.367      -13.3065
18.145-0.416       4        203.590        104.031       0.456344        13.3275       0.980773         1.75150         3.69000          18.1569     -0.384900       276.351      -13.2987
18.145-0.416       5        64.8397        781.740       0.506461        23.0294        3.24240         1.73415         3.69000          18.1865     -0.366800       276.349      -13.2640
18.232-0.153       1        149.040        259.089       0.628927        15.4121        1.50673        0.481683         3.80000          18.2097     -0.196000       276.205      -13.1637
18.232-0.153       2        583.137        1134.88       0.616442        16.0486        1.45153         2.30506         3.80000          18.1984     -0.170800       276.177      -13.1619
18.232-0.153       3        140.796        542.616       0.656265        17.9669        1.95234        0.123029         3.80000          18.2433     -0.116200       276.149      -13.0967
18.244-0.479       1        1062.09        201.390       0.607907        11.7265       0.753157         1.39602         3.73000          18.2462     -0.473400       276.474      -13.2610
18.246-0.269       1        3856.28        1748.40       0.579648        12.5857       0.893030        0.459592         4.42000          18.2532     -0.250000       276.275      -13.1505
18.261-0.309       1        1448.82        953.315       0.466356        13.0575        1.06767        0.626087         3.43000          18.2761     -0.263700       276.298      -13.1366
18.287-0.256       1        212.171        3000.21       0.554044        22.9583        3.29176        0.585980         4.48000          18.2156     -0.223300       276.233      -13.1712
18.287-0.256       3        2279.72        3232.36       0.723233        14.8675        1.36263        0.162226         4.48000          18.2432     -0.238500       276.260      -13.1539
18.287-0.256       5        452.274        3292.13       0.783428        20.5839        2.49082         3.22225         4.48000          18.2624     -0.243900       276.274      -13.1395
18.287-0.256       7        2444.32        628.998       0.719813        11.9543       0.806126        0.325998         4.48000          18.3518     -0.271800       276.342      -13.0735
18.366-0.392       1        529.799        2034.06       0.579511        17.9946        1.91855        0.555197         3.67000          18.3712     -0.381800       276.451      -13.1077
18.41-0.289       1        118.690        179.344       0.433688        15.5498        1.39874        0.506266         4.47000          18.4240     -0.299700       276.402      -13.0227
18.624-0.07       1        774.420        231.507       0.560067        12.2450       0.848171        0.314584         3.75000          18.5947    -0.0736000       276.279      -12.7661
18.624-0.07       2        1691.36        426.343       0.541780        12.0747       0.808588        0.883012         3.75000          18.6065    -0.0749000       276.285      -12.7563
18.624-0.07       3        1278.62        312.093       0.510510        11.9480       0.791709        0.841569         3.75000          18.6276    -0.0701000       276.291      -12.7354
18.624-0.07       4        542.105        638.907       0.529652        15.0090        1.26622         1.60545         3.75000          18.6402    -0.0626000       276.290      -12.7208
18.624-0.07       5        977.336        8180.97       0.566838        20.7767        2.65368        0.371394         3.75000          18.6546    -0.0597000       276.295      -12.7067
18.624-0.07       6        372.856        1674.23       0.588508        18.4829        1.95963         3.51782         3.75000          18.6637    -0.0564000       276.296      -12.6971
18.624-0.07       7        848.430        3981.83       0.327976        18.3396        2.03094        0.202333         3.75000          18.6675     0.0254000       276.224      -12.6555
18.624-0.07       8        596.959        787.250       0.655771        15.1450        1.31277        0.725028         3.75000          18.7015    0.00440000       276.259      -12.6353
18.624-0.07       9        442.761        3020.36       0.615637        20.0934        2.39567         1.59474         3.75000          18.7106   0.000800000       276.267      -12.6289
18.76-0.438       1        123.356        809.126       0.716986        20.6792        2.56774         1.23583         4.45000          18.7488     -0.448400       276.692      -12.8047
18.787-0.286       1        564.224        8223.76       0.689401        23.5087        3.41151         1.40348         4.36000          18.8336     -0.299800       276.598      -12.6604
18.816-0.447       1        2617.42        4719.87       0.750202        15.2772        1.45406        0.238265         4.29000          18.8251     -0.467100       276.746      -12.7458
18.865-0.41       1        1216.84        1887.37       0.651883        14.9454        1.49731         1.82872         4.21000          18.8637     -0.481700       276.777      -12.7185
18.865-0.41       2        6613.45        4138.95       0.636960        13.3781        1.04680       0.0229387         4.21000          18.8885     -0.474200       276.783      -12.6931
18.886+0.068       1        313.515        363.285       0.442747        14.7796        1.24246        0.827706         3.64000          18.8396    -0.0250000       276.352      -12.5269
18.886+0.068       2        557.947        1934.13       0.636535        16.0591        1.88546         4.41685         3.64000          18.8736     0.0535000       276.297      -12.4602
18.886+0.068       3        64.6590        401.775       0.416732        19.5428        2.29501        0.642905         3.64000          18.8603     0.0837000       276.263      -12.4578
18.886+0.068       4        636.150        1622.99       0.636535        16.1578        1.56867       0.0211557         3.64000          18.8895     0.0435000       276.314      -12.4508
18.886+0.068       5        103.713        101.924       0.527701        13.7051        1.20052        0.924875         3.64000          18.9304     0.0829000       276.298      -12.3962
18.896-0.036       3        384.253        238.711       0.303488        13.3227        1.05835       0.0201820         3.47000          18.9289    -0.0144000       276.385      -12.4429
18.913-0.629       1        1082.93        3206.02       0.586928        17.2959        1.74011        0.978880         4.26000          18.9065     -0.625400       276.928      -12.7475
18.972-0.404       1        155.349        176.112       0.342368        14.3790        1.21943       0.0265696         2.31000          19.0312     -0.439800       276.819      -12.5508
18.985-0.45       1        6.60359        135.597       0.466623        24.7349        4.50469         1.64964         3.70000          18.9931     -0.436500       276.798      -12.5829
19.019-0.07       1        236.669        3838.03       0.519416        23.9282        3.62170        0.506791         4.20000          19.0027    -0.0842000       276.483      -12.4103
19.03+0.57       1        37.8024        377.020       0.537695        21.7269        2.93481        0.347884         3.22000          19.0591      0.567000       275.921      -12.0560
19.054-0.051       1        160.286        418.031       0.637553        16.2920        1.75821         1.18815         4.18000          19.0468    -0.0530000       276.476      -12.3567
19.073-0.602       1        131.275        560.181       0.582271        18.3209        2.10602       0.0268244         4.44000          19.0336     -0.599300       276.965      -12.6228
19.073-0.602       2        769.087        2600.12       0.707032        17.6154        1.88557       0.0435968         4.44000          19.0549     -0.598900       276.975      -12.6038
19.073-0.602       3        225.676        548.390       0.686767        16.1284        1.58081      0.00107009         4.44000          19.0487     -0.581200       276.956      -12.6011
19.082-0.291       2        466.184        705.765       0.636658        15.2367        1.37946       0.0309493         4.33000          18.9993     -0.238300       276.621      -12.4852
19.082-0.291       3        727.975        1272.09       0.682681        14.9200        1.28712        0.356855         4.33000          19.0617     -0.299200       276.706      -12.4583
19.082-0.291       4        3786.83        39492.3       0.757197        21.7144        2.90225        0.626663         4.33000          19.0763     -0.287400       276.703      -12.4399
19.082-0.291       5        522.485        2700.24       0.641785        19.1084        2.25183       0.0521232         4.33000          19.0548     -0.211700       276.624      -12.4237
19.082-0.291       6        238.399        809.411       0.574377        17.3410        1.74045         1.26889         4.33000          19.1842     -0.315800       276.780      -12.3576
19.159-0.493       1        37.2639        305.924       0.587571        20.1646        2.43738         1.02689         3.36000          19.0691     -0.557700       276.944      -12.5721
19.284+0.455       1        3.00759        130.686       0.422278        32.4037        7.13699        0.819336         3.22000          19.2356      0.495400       276.071      -11.9335
19.287+0.08       1        507.387        54.5937       0.393192        11.2615       0.680562         3.05515         2.35000          19.2864     0.0840000       276.467      -12.0808
19.287+0.08       2        339.183        263.563       0.294632        13.9896        1.11113        0.617719         2.35000          19.3116     0.0673000       276.494      -12.0664
19.313-0.676       1        744.234        1983.24       0.739710        16.9311        1.68768        0.415707         4.23000          19.3079     -0.658000       277.149      -12.4073
19.376-0.034       1        1065.71        3132.56       0.379185        17.1234        1.71431        0.690144         2.38000          19.3648    -0.0297000       276.607      -12.0646
19.52+0.067       1        405.757        4250.83        1.02313        21.6506        2.95598       0.0994633         6.24000          19.5180     0.0797000       276.581      -11.8780
19.577-0.888       2        453.257        7004.39       0.715228        23.5511        3.40481         1.85321         4.09000          19.6070     -0.901100       277.511      -12.2551
19.615-0.267       1        1351.87        3536.19       0.509046        16.7238        1.63593        0.536104         3.28000          19.6120     -0.255600       276.929      -11.9510
19.653-0.118       1        1312.10        7474.91       0.844661        19.4159        2.26157        0.651997         6.09000          19.6109     -0.120300       276.806      -11.8890
19.71-0.146       1        176.450        708.810       0.575211        18.3756        1.96007         1.84973         4.01000          19.6925     -0.175300       276.895      -11.8424
19.71-0.146       2        442.598        2712.30       0.495919        19.4193        2.23978         1.08282         4.01000          19.7276     -0.113100       276.855      -11.7824
19.71-0.146       3        629.339        6548.62       0.524434        21.5597        2.88883        0.315351         4.01000          19.7546     -0.127900       276.881      -11.7654
19.834-0.336       1        250.466        228.917       0.497560        13.7641        1.30972         3.09704         3.38000          19.8133     -0.340100       277.101      -11.8120
19.834-0.336       2        526.732        1825.77       0.591068        17.5229        1.82382        0.352754         3.38000          19.8284     -0.329500       277.099      -11.7937
19.834-0.749       1        173.531        1584.23       0.418006        20.8669        2.70455        0.188021         3.38000          19.8324     -0.776500       277.505      -11.9976
19.839-0.416       1        69.9729        259.017       0.592920        17.3366        2.30642         6.00931         4.45000          19.8256     -0.420200       277.179      -11.8383
19.886-0.511       1        1959.21        8860.13       0.439326        18.6411        2.08113        0.445883         3.35000          19.8835     -0.534500       277.310      -11.8401
19.912-0.205       1        75.6177        229.084       0.790423        16.6929        1.75743        0.215310         4.52000          19.8896     -0.210300       277.020      -11.6842
19.928-0.257       1        2601.35        886.888       0.522413        12.3380       0.859048        0.384295         3.29000          19.9229     -0.258100       277.079      -11.6769
19.939-0.808       1        54.4027        27.4915       0.398328        12.8504       0.982929       0.0299508         3.23000          19.9238     -0.834300       277.601      -11.9434
19.979-0.21       1        761.722        455.891       0.584614        13.5670        1.02378         1.38935         4.23000          19.9768     -0.214300       277.065      -11.6089
20.087-0.79       1        144.719        16.4204       0.483185        10.5041       0.659989        0.208282         3.14000          20.0873     -0.790500       277.639      -11.7782
20.699-0.084       1        299.990        1957.31       0.982782        19.2437        2.21918        0.625620         5.62000          20.7125    -0.0770000       277.289      -10.8935
20.717-0.01       1        116.944        671.217       0.500866        19.3517        2.17455         3.03165         4.05000          20.7351    -0.0307000       277.257      -10.8514
20.775-0.076       1        1601.07        6759.85       0.668756        18.3213        1.94912         1.77486         3.95000          20.7471    -0.0907000       277.318      -10.8692
20.775-0.076       2        1708.35        2797.20       0.690746        15.8367        1.41952         1.71283         3.95000          20.7338    -0.0585000       277.283      -10.8661
20.775-0.076       3        464.820        5828.29       0.577702        22.2399        3.16160       0.0377709         3.95000          20.7624    -0.0635000       277.301      -10.8430
20.775-0.076       4        676.517        1784.26       0.557307        17.0500        1.69064        0.869670         3.95000          20.7704    -0.0565000       277.298      -10.8327
20.779-0.039       1        1301.69        1846.12       0.670882        15.5853        1.35381         3.14901         4.00000          20.7776    -0.0475000       277.293      -10.8222
21.321-0.139       1        1186.61        1759.42       0.676143        14.3560        1.13831         2.68466         4.22000          21.3420     -0.138100       277.641      -10.3640
21.412-0.531       1        880.189        13265.2       0.648776        23.3305        3.44057        0.359935         3.71000          21.4236     -0.541600       278.043      -10.4784
21.559-0.04       1        397.626        2660.43       0.558665        19.7434        2.32300         1.09023         4.26000          21.5628    -0.0328000       277.650      -10.1196
21.802-0.195       1        104.550        294.546       0.692581        17.2311        1.71563         1.29707         4.13000          21.8206     -0.197700       277.920      -9.96730
21.862+0.631       1        179.703        17.8523       0.293099        10.8941       0.644825         1.53722         2.37000          21.8590      0.633700       277.190      -9.54810
21.875-0.592       1        370.099        267.046       0.590276        13.8251        1.07479        0.931146         3.70000          21.8718     -0.590200       278.298      -10.1032
22.073+0.206       1        46.6551        60.0576       0.169173        14.9895        1.28849        0.602732         1.29000          22.0503      0.211300       277.660      -9.57440
22.372+0.377       1        153.123        345.772       0.644070        15.7907        1.51326      0.00396196         3.93000          22.3416      0.431800       277.599      -9.21410
22.372+0.377       2        143.027        114.674       0.687248        13.9222        1.10620        0.444600         3.93000          22.3495      0.459200       277.578      -9.19450
22.373+0.446       2        2570.97        424.824       0.610607        11.4793       0.730381        0.728738         4.83000          22.3766      0.446800       277.602      -9.17630
22.414+0.318       1        235.565        780.360       0.509631        17.5940        1.87137       0.0840573         4.85000          22.4263      0.307800       277.750      -9.19650
22.414+0.318       2        660.318        867.767       0.745384        14.9151        1.24576         1.82296         4.85000          22.4622      0.325400       277.751      -9.15650
22.429+0.269       1        3779.79        1070.00        1.05973        11.7071       0.839421        0.424211         6.06000          22.3968      0.300800       277.742      -9.22590
22.429+0.269       2        3742.33        1108.04        1.02614        12.2011       0.807894         2.49731         6.06000          22.4159      0.301200       277.751      -9.20880
22.469-0.22       1        523.571        138.516       0.795669        11.8962       0.808700        0.111477         4.55000          22.4739     -0.219900       278.246      -9.39820
22.546-0.526       1        1854.76        3213.47       0.710795        15.6740        1.40995        0.825891         4.53000          22.5501     -0.521800       278.553      -9.46980
22.756-0.284       1        97.6054        2544.25       0.685220        27.1438        4.80638        0.560599         4.43000          22.7383     -0.304000       278.445      -9.20240
22.756-0.284       2        700.314        1093.00       0.667758        15.2023        1.41954       0.0975513         4.43000          22.7441     -0.257000       278.406      -9.17560
22.756-0.284       3        491.561        507.108       0.750355        14.8480        1.21245         4.55906         4.43000          22.7556     -0.275600       278.428      -9.17400
22.756-0.284       4        142.847        544.593       0.671485        17.5284        1.86267       0.0536148         4.43000          22.7687     -0.239200       278.401      -9.14560
22.829-0.44       1        673.816        926.423       0.648844        15.1955        1.32099        0.760158         4.59000          22.8344     -0.437400       278.610      -9.17860
22.866-0.41       4        19.4655        479.578       0.504897        25.9717        5.25382         3.02113         3.85000          22.9445     -0.333600       278.568      -9.03310
22.866+0.81       1        35.5481        70.7158       0.487894        16.3041        1.53172        0.932832         2.79000          22.8709      0.811400       277.506      -8.56930
22.958+0.035       1        235.599        3125.11       0.809659        22.8043        3.41699       0.0187616         4.63000          22.9501     0.0394000       278.236      -8.85610
22.985-0.412       1        6183.62        33743.0       0.761204        19.0106        2.20777        0.138241         4.59000          23.0091     -0.409500       278.667      -9.01070
23.031-0.624       1        370.555        904.345       0.762443        16.5625        1.59165        0.754867         4.36000          23.0360     -0.642900       278.889      -9.09420
23.047+0.289       1        341.655        95.7420       0.370729        12.5396       0.850901         3.30492         2.12000          23.0424      0.291600       278.053      -8.65770
23.047+0.531       1        10.5198        31.3601       0.225578        17.5835        1.77531         2.05850         1.62000          23.0497      0.512000       277.858      -8.54940
23.047+0.531       2        6.42951        32.3934       0.238988        18.9032        2.34617        0.459746         1.62000          23.0635      0.532500       277.846      -8.52770
23.078+0.569       1        695.161        388.323       0.859129        13.1090        1.01166     0.000282753         5.03000          23.0382      0.595600       277.778      -8.52090
23.078+0.569       2        130.847        412.642       0.824084        17.0022        1.96859         1.71603         5.03000          23.0849      0.546400       277.844      -8.50230
23.078+0.569       3        190.346        1014.58       0.813474        18.4903        2.07016        0.184368         5.03000          23.0595      0.609100       277.776      -8.49580
23.078+0.569       4        173.033        241.693       0.801252        14.3588        1.20226        0.120144         5.03000          23.0977      0.554000       277.843      -8.48740
23.078+0.569       5        882.967        1131.52       0.879608        15.1758        1.27288         4.02926         5.03000          23.1037      0.587300       277.816      -8.46670
23.087-0.397       1        1714.34        739.621       0.712049        12.9924       0.928649         1.81110         4.34000          23.0897     -0.391900       278.688      -8.93110
23.136-0.483       1        504.266        636.824       0.660449        14.6257        1.23003        0.421404         3.98000          23.1392     -0.473800       278.785      -8.92490
23.142+0.538       1        63.8298        996.393       0.550857        24.8703        3.88623         1.19146         3.22000          23.1542      0.515200       277.904      -8.45530
23.207+0.000       1        2906.80        10084.0       0.795845        17.5243        1.83569        0.225897         5.22000          23.1971   0.000700000       278.386      -8.65480
23.21-0.371       1        3956.23        9964.94       0.597603        16.7220        1.68080       0.0542384         3.84000          23.2067     -0.377800       278.730      -8.82070
23.271-0.263       1        280.332        930.500       0.710079        17.0902        1.86099        0.293906         5.21000          23.2422     -0.239700       278.623      -8.72560
23.271-0.263       2        1720.83        3234.77       0.758804        15.1016        1.42992        0.347039         5.21000          23.2561     -0.240200       278.630      -8.71350
23.271-0.263       3        170.680        1779.96       0.729108        22.1703        2.96353         2.15783         5.21000          23.2495     -0.224800       278.613      -8.71230
23.271-0.263       4        2731.86        8868.70       0.911085        17.5143        1.84937        0.103839         5.21000          23.2713     -0.256100       278.651      -8.70740
23.271-0.263       5        1769.47        6258.28       0.911085        17.2167        1.87720        0.200372         5.21000          23.3214     -0.297500       278.711      -8.68190
23.271-0.263       6        604.134        1129.35       0.911085        15.6925        1.44417        0.226767         5.21000          23.3388     -0.327400       278.746      -8.68020
23.294-0.202       1        4138.82        246.081       0.607545        10.3822       0.581814         1.78205         4.65000          23.2677     -0.206500       278.605      -8.68770
23.314-0.236       2        1005.79        124.619       0.568552        11.2498       0.680324         2.79176         4.00000          23.3338     -0.211500       278.640      -8.63130
23.331-0.407       1        56.8357        125.504       0.500866        16.1807        1.57862      0.00891761         4.05000          23.3520     -0.425100       278.840      -8.71350
23.367-0.288       1        5240.84        1128.67       0.698945        11.7910       0.772578        0.717889         4.58000          23.3643     -0.290900       278.726      -8.64080
23.397-0.253       2        744.354        5440.33       0.739104        20.2505        2.46952        0.857805         5.53000          23.4014     -0.216200       278.676      -8.57350
23.397-0.253       3        6851.72        10343.3       0.957614        15.7834        1.39782         2.49170         5.53000          23.4104     -0.227300       278.690      -8.57060
23.397-0.253       4        6156.30        9068.24       0.867405        15.4904        1.34141         2.57910         5.53000          23.4204     -0.234100       278.701      -8.56480
23.397-0.253       6        8139.96        26440.5       0.829670        17.4973        1.84131        0.130268         5.53000          23.4363     -0.184200       278.663      -8.52770
23.397-0.253       7        892.495        5562.12       0.652289        19.8719        2.34579         1.35478         5.53000          23.4554     -0.200800       278.687      -8.51850
23.397-0.253       8        2629.75        4174.30       0.870984        15.3841        1.34702         1.07285         5.53000          23.4630     -0.181000       278.673      -8.50260
23.403+0.454       1        6066.23        1550.05       0.993275        11.7152       0.814055       0.0597840         5.68000          23.4061      0.448200       278.082      -8.26280
23.423-0.103       1        472.345        2247.06       0.907600        17.9298        2.14192        0.940350         5.40000          23.3566     -0.131700       278.579      -8.57430
23.423-0.103       2        1338.99        2266.34       0.767545        15.9677        1.45089         1.42550         5.40000          23.3959     -0.132100       278.598      -8.53960
23.423-0.103       3        362.765        2159.75       0.565568        19.1519        2.30688      0.00481771         5.40000          23.4361     -0.150200       278.633      -8.51230
23.443-0.526       1        700.621        279.118       0.597416        12.2223       0.871088      0.00268323         4.01000          23.4318     -0.521100       278.964      -8.68680
23.444-0.022       1        11.4005        601.347       0.573831        37.4322        9.60291         9.32826         4.64000          23.4597    -0.0317000       278.537      -8.43670
23.449-0.267       1        678.748        2298.85       0.588034        17.0756        1.81947       0.0732868         5.42000          23.4425     -0.252600       278.728      -8.55380
23.454+0.06       1        275.346        1289.36       0.629482        18.5767        2.04404        0.789172         4.80000          23.4249     0.0660000       278.434      -8.42260
23.454+0.06       2        2507.10        9709.12       0.804573        18.0229        1.92711        0.524546         4.80000          23.4558     0.0648000       278.449      -8.39570
23.456-0.039       2        338.740        775.680       0.575068        16.6113        1.63457        0.216190         4.65000          23.4588    -0.0188000       278.525      -8.43160
23.496-0.085       1        253.871        1188.00       0.440267        18.8926        2.11487        0.921024         3.56000          23.5189    -0.0472000       278.579      -8.39140
23.514-0.023       1        315.340        383.221       0.527439        14.7472        1.26670        0.186146         3.49000          23.5144    -0.0163000       278.549      -8.38100
23.588-0.009       3        3042.14        1805.20       0.552959        13.5499        1.02589         1.11688         3.58000          23.5688     0.0140000       278.547      -8.31890
23.588-0.009       4        955.159        2204.76       0.435583        16.4710        1.57942        0.600799         3.58000          23.6008    -0.0145000       278.588      -8.30360
23.588-0.009       5        1229.13        1526.56       0.569131        14.2401        1.14307        0.997462         3.58000          23.5847     0.0299000       278.540      -8.29740
23.647+0.195       1        900.493        152.646       0.862120        11.2131       0.741395       0.0448222         4.93000          23.6459      0.194700       278.421      -8.16710
23.655-0.143       1        2219.32        363.231       0.653564        11.4477       0.722496        0.936841         4.87000          23.6534     -0.143100       278.728      -8.31610
23.655-0.143       2        382.504        2580.80       0.789001        18.6587        2.18683       0.0164312         4.87000          23.6568     -0.127300       278.715      -8.30580
23.943+0.159       1        786.802        7337.92       0.570121        21.3477        2.77608        0.875825         4.61000          23.8988     0.0647000       278.655      -8.00260
23.943+0.159       2        388.955        1815.39       0.694631        18.3145        2.01927        0.250214         4.61000          23.9009     0.0760000       278.646      -7.99550
23.943+0.159       3        1826.25        4341.87       0.724095        16.1465        1.56998       0.0118130         4.61000          23.9651      0.138900       278.620      -7.90960
23.98+0.149       1        468.873        3494.01       0.673623        19.8011        2.48594      0.00730594         4.62000          24.0251      0.196700       278.596      -7.82970
24.118-0.175       1        2298.03        1455.41       0.768583        13.4299        1.03286        0.267403         4.71000          24.1134     -0.174100       278.969      -7.92200
24.157+0.077       1        994.909        2853.39       0.537895        17.1239        1.71216        0.739107         3.45000          24.1836      0.120300       278.738      -7.72420
24.183-0.027       1        72.8608        1028.14       0.461620        23.5095        3.48004        0.512889         3.52000          24.2090    -0.0423000       278.895      -7.77650
24.321-0.16       1        643.305        363.302       0.466866        13.2789        1.01447        0.168137         3.56000          24.3123     -0.153500       279.043      -7.73590
24.332+0.149       1        7534.49        34502.0       0.919404        18.6180        2.05182        0.833884         5.86000          24.3287      0.144500       278.784      -7.58420
24.355+0.254       1        343.211        944.005       0.834911        16.8387        1.69184        0.143021         5.90000          24.3689      0.273600       278.687      -7.48920
24.36+0.068       2        2259.58        5996.40       0.890949        16.6788        1.62705        0.523925         6.11000          24.4083     0.0735000       278.884      -7.54630
24.373-0.157       1        277.932        315.209       0.595733        14.8141        1.25627        0.604327         3.60000          24.3530     -0.142500       279.052      -7.69480
24.373-0.157       2        695.528        223.444       0.563702        12.2702       0.864894       0.0861588         3.60000          24.3745     -0.158200       279.076      -7.68280
24.381-0.21       2        541.584        5312.24       0.572744        21.2425        2.75647        0.716234         3.61000          24.3974     -0.187900       279.113      -7.67610
24.381-0.21       3        3712.91        5816.64       0.582404        15.5007        1.38050        0.713122         3.61000          24.4424     -0.227500       279.170      -7.65440
24.392+0.448       1        1499.47        428.445       0.877684        11.9621       0.852213       0.0758198         5.80000          24.3678      0.481000       278.500      -7.39450
24.417+0.1       2        5568.22        2562.17       0.747416        12.8253       0.928168        0.490272         5.93000          24.4185      0.100100       278.865      -7.52500
24.417+0.1       3        4482.67        1960.80       0.948240        12.8380       0.930799        0.469346         5.93000          24.4271      0.122600       278.849      -7.50700
24.425+0.038       1        277.458        310.690       0.575556        14.1946        1.22611       0.0991032         5.97000          24.4283     0.0328000       278.930      -7.54730
24.426-0.28       2        303.794        424.221       0.914582        15.6457        1.37524         2.19975         5.23000          24.4423     -0.268700       279.207      -7.67340
24.454+0.467       1        567.869        3896.59       0.723904        18.6975        2.15204       0.0346750         5.52000          24.4525      0.488300       278.533      -7.31600
24.456+0.054       1        53.3628        1657.97       0.982782        27.8730        5.31309      0.00106026         5.62000          24.4591     0.0894000       278.893      -7.49380
24.462+0.219       1        2259.06        820.415       0.845333        12.4785       0.870372        0.700550         6.27000          24.4251      0.243000       278.740      -7.45330
24.462+0.219       2        2335.36        7512.35       0.909073        17.3503        1.79572        0.229636         6.27000          24.4619      0.198000       278.797      -7.44140
24.462+0.219       3        3095.45        3094.49       0.793262        14.1492        1.15872        0.196170         6.27000          24.4392      0.251000       278.740      -7.43710
24.475-0.518       1        1165.74        98.1328       0.593711        10.5970       0.618292        0.756012         3.85000          24.4809     -0.517900       279.448      -7.75350
