-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
    0.16+0.098      6         0.0697         0.0487       266.3990       -28.8513
    0.16+0.098      7         0.1170        -0.0197       266.4938       -28.8466
    0.16+0.098      8         0.1109         0.0021       266.4689       -28.8404
    0.16+0.098      9         0.0479         0.1129       266.3234       -28.8364
    0.16+0.098     10         0.1213         0.0113       266.4661       -28.8268
    0.16+0.098     11         0.1303         0.0028       266.4798       -28.8235
    0.16+0.098     12         0.1422         0.0053       266.4844       -28.8120
    0.16+0.098     13         0.1398         0.0202       266.4684       -28.8063
    0.16+0.098     14         0.1699         0.0205       266.4860       -28.7805
    0.16+0.098     15         0.1031         0.1500       266.3202       -28.7700
    0.16+0.098     16         0.1638         0.0664       266.4377       -28.7618
    0.16+0.098     17         0.1630         0.0787       266.4253       -28.7560
    0.16+0.098     18         0.2062         0.0406       266.4880       -28.7390
    0.16+0.098     19         0.2045         0.0523       266.4756       -28.7344
    0.16+0.098     20         0.1874         0.0811       266.4374       -28.7340
    0.16+0.098     21         0.2015         0.0672       266.4593       -28.7291
   0.163-0.057      1         0.0131        -0.0193       266.4316       -28.9351
   0.163-0.057      2         0.0622        -0.0794       266.5194       -28.9244
   0.163-0.057      3         0.0208        -0.0079       266.4251       -28.9225
   0.163-0.057      4         0.0784        -0.0918       266.5412       -28.9170
   0.163-0.057      5         0.0739        -0.0735       266.5207       -28.9114
   0.163-0.057      6         0.0358         0.0055       266.4210       -28.9028
   0.163-0.057      7         0.0329         0.0213       266.4039       -28.8970
   0.163-0.057      8         0.1006        -0.0817       266.5445       -28.8928
   0.163-0.057      9         0.1195        -0.1113       266.5846       -28.8921
   0.163-0.057     10         0.0761        -0.0304       266.4799       -28.8870
   0.163-0.057     11         0.0505         0.0281       266.4076       -28.8784
   0.163-0.057     12         0.1083        -0.0611       266.5289       -28.8755
   0.163-0.057     13         0.0765        -0.0024       266.4529       -28.8722
   0.163-0.057     14         0.0835        -0.0099       266.4643       -28.8700
   0.163-0.057     15         0.1393        -0.0848       266.5705       -28.8614
   0.163-0.057     16         0.0977        -0.0052       266.4681       -28.8555
